FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,30:26.730,1,1,8
Sergio Perez,11,+21.048,2,2,7
Carlos Sainz,55,+23.088,5,3,6
Lance Stroll,18,+29.703,7,4,5
Fernando Alonso,14,+30.109,6,5,4
Nico Hulkenberg,27,+31.297,4,6,3
Esteban Ocon,31,+36.602,8,7,2
George Russell,63,+36.611,15,8,1
Lando Norris,4,+38.608,3,9,0
Lewis Hamilton,44,+46.375,18,10,0
Oscar Piastri,81,+49.807,17,11,0
Charles Leclerc,16,+50.789,9,12,0
Alexander Albon,23,+52.848,11,13,0
Kevin Magnussen,20,+56.593,10,14,0
Pierre Gasly,10,+57.652,12,15,0
Yuki Tsunoda,22,+1:04.822,13,16,0
Nyck De Vries,21,+1:05.617,14,17,0
Logan Sargeant,2,+1:06.059,20,18,0
Guanyu Zhou,24,+1:10.825,16,19,0
Valtteri Bottas,77,+1:16.435,PLS,20,0
