FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,33,2:02:34.598,3,1,25
Lewis Hamilton,44,+22.000,1,2,19
Lando Norris,4,+23.702,7,3,15
Charles Leclerc,16,+25.579,4,4,12
Carlos Sainz,55,+27.036,11,5,10
Daniel Ricciardo,3,+51.220,6,6,8
Pierre Gasly,10,+52.818,5,7,6
Lance Stroll,18,+56.909,10,8,4
Esteban Ocon,31,+1 Lap,9,9,2
Fernando Alonso,14,+1 Lap,15,10,1
Sergio Perez,11,+1 Lap,2,11,0
Yuki Tsunoda,22,+1 Lap,20,12,0
Kimi Räikkönen,7,+1 Lap,16,13,0
Antonio Giovinazzi,99,+1 Lap,17,14,0
Sebastian Vettel,5,+1 Lap,PLS,15,0
Mick Schumacher,47,+1 Lap,18,16,0
Nikita Mazepin,9,+1 Lap,19,17,0
Valtteri Bottas,77,DNF,8,DNF,0
George Russell,63,DNF,12,DNF,0
Nicholas Latifi,6,DNF,14,DNF,0
