FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:20:43.273,1,1,25
Sergio Perez,11,+13.643,3,2,18
Charles Leclerc,16,+18.639,2,3,16
Oscar Piastri,81,+32.007,5,4,12
Fernando Alonso,14,+35.759,4,5,10
George Russell,63,+39.936,7,6,8
Oliver Bearman,38,+42.679,11,7,6
Lando Norris,4,+45.708,6,8,4
Lewis Hamilton,44,+47.391,8,9,2
Nico Hulkenberg,27,+1:16.996,15,10,1
Alexander Albon,23,+1:28.354,12,11,0
Kevin Magnussen,20,+1:45.737,13,12,0
Esteban Ocon,31,+1 Lap,17,13,0
Logan Sargeant,2,+1 Lap,19,14,0
Yuki Tsunoda,22,+1 Lap,9,15,0
Daniel Ricciardo,3,+1 Lap,14,16,0
Valtteri Bottas,77,+1 Lap,16,17,0
Guanyu Zhou,24,+1 Lap,20,18,0
Lance Stroll,18,DNF,10,DNF,0
Pierre Gasly,10,DNF,18,DNF,0
