FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,1:42:06.304,1,1,25
Max Verstappen,1,+0.895,3,2,18
George Russell,63,+8.481,4,3,15
Kimi Antonelli,12,+10.135,16,4,12
Alexander Albon,23,+12.773,6,5,10
Lance Stroll,18,+17.413,13,6,8
Nico Hulkenberg,27,+18.423,17,7,6
Charles Leclerc,16,+19.826,7,8,4
Oscar Piastri,81,+20.448,2,9,2
Lewis Hamilton,44,+22.473,8,10,1
Pierre Gasly,10,+26.502,9,11,0
Yuki Tsunoda,22,+29.884,5,12,0
Esteban Ocon,31,+33.161,19,13,0
Oliver Bearman,87,+40.351,20,14,0
Liam Lawson,30,DNF,18,DNF,0
Gabriel Bortoleto,5,DNF,15,DNF,0
Fernando Alonso,14,DNF,12,DNF,0
Carlos Sainz,55,DNF,10,DNF,0
Jack Doohan,7,DNF,14,DNF,0
Isack Hadjar,6,DNF,11,DNF,0
