FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Charles Leclerc,16,1:14:40.727,4,1,25
Oscar Piastri,81,+2.664,2,2,18
Lando Norris,4,+6.153,1,3,16
Carlos Sainz,55,+15.621,5,4,12
Lewis Hamilton,44,+22.820,6,5,10
Max Verstappen,1,+37.932,7,6,8
George Russell,63,+39.715,3,7,6
Sergio Perez,11,+54.148,8,8,4
Alexander Albon,23,+1:07.456,9,9,2
Kevin Magnussen,20,+1:08.302,13,10,1
Fernando Alonso,14,+1:08.495,11,11,0
Franco Colapinto,43,+1:21.308,18,12,0
Daniel Ricciardo,3,+1:33.452,12,13,0
Esteban Ocon,31,+1 Lap,15,14,0
Pierre Gasly,10,+1 Lap,14,15,0
Valtteri Bottas,77,+1 Lap,19,16,0
Nico Hulkenberg,27,+1 Lap,10,17,0
Guanyu Zhou,24,+1 Lap,20,18,0
Lance Stroll,18,+1 Lap,17,19,0
Yuki Tsunoda,22,DNF,16,DNF,0
