FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,29:46.045,2,1,8
Oscar Piastri,81,+0.593,1,2,7
Charles Leclerc,16,+5.656,3,3,6
Max Verstappen,1,+6.497,4,4,5
Carlos Sainz,55,+7.224,5,5,4
George Russell,63,+12.475,6,6,3
Pierre Gasly,10,+18.161,7,7,2
Sergio Perez,11,+18.717,13,8,1
Liam Lawson,30,+20.773,8,9,0
Alexander Albon,23,+24.606,9,10,0
Lewis Hamilton,44,+29.764,11,11,0
Franco Colapinto,43,+33.233,14,12,0
Esteban Ocon,31,+34.128,16,13,0
Oliver Bearman,50,+35.507,10,14,0
Yuki Tsunoda,22,+41.374,17,15,0
Valtteri Bottas,77,+43.231,15,16,0
Guanyu Zhou,24,+54.139,PLS,17,0
Fernando Alonso,14,+56.537,PLS,18,0
Lance Stroll,18,+57.983,PLS,19,0
Nico Hulkenberg,27,+1 Lap,12,20,0
