FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:24:38.241,3,1,25
Oscar Piastri,81,+7.995,1,2,18
Carlos Sainz,55,+22.665,7,3,15
Lando Norris,4,+23.315,2,4,12
Kimi Antonelli,12,+28.317,5,5,10
George Russell,63,+48.599,4,6,8
Fernando Alonso,14,+54.045,8,7,6
Charles Leclerc,16,+56.785,10,8,4
Liam Lawson,30,+1:00.073,12,9,2
Yuki Tsunoda,22,+1:01.770,15,10,1
Alexander Albon,23,+1:06.931,14,11,0
Lewis Hamilton,44,+1:17.730,17,12,0
Gabriel Bortoleto,5,+1:24.812,19,13,0
Franco Colapinto,43,+1 lap,20,14,0
Esteban Ocon,31,+1 lap,16,15,0
Pierre Gasly,10,+1 lap,9,16,0
Lance Stroll,18,DNF,18,DNF,0
Isack Hadjar,6,DNF,6,DNF,0
Oliver Bearman,87,DNF,13,DNF,0
Nico Hulkenberg,27,DNF,11,DNF,0
