FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:48:51.980,1,1,25
Fernando Alonso,14,+27.921,2,2,18
Esteban Ocon,31,+36.990,3,3,15
Lewis Hamilton,44,+39.062,5,4,13
George Russell,63,+56.284,8,5,10
Charles Leclerc,16,+1:01.890,6,6,8
Pierre Gasly,10,+1:02.362,7,7,6
Carlos Sainz,55,+1:03.391,4,8,4
Lando Norris,4,+1 Lap,10,9,2
Oscar Piastri,81,+1 Lap,11,10,1
Valtteri Bottas,77,+1 Lap,15,11,0
Nyck De Vries,21,+1 Lap,12,12,0
Guanyu Zhou,24,+1 Lap,19,13,0
Alexander Albon,23,+1 Lap,13,14,0
Yuki Tsunoda,22,+1 Lap,9,15,0
Sergio Perez,11,+1 Lap,20,16,0
Nico Hulkenberg,27,+1 Lap,18,17,0
Logan Sargeant,2,+1 Lap,16,18,0
Kevin Magnussen,20,DNF,17,DNF,0
Lance Stroll,18,DNF,14,DNF,0
