FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:27:02.624,1,1,26
Charles Leclerc,16,+17.993,2,2,18
George Russell,63,+20.328,4,3,15
Sergio Perez,11,+21.453,9,4,12
Lando Norris,4,+24.284,5,5,10
Oscar Piastri,81,+31.487,3,6,8
Fernando Alonso,14,+39.512,7,7,6
Yuki Tsunoda,22,+43.088,6,8,4
Lewis Hamilton,44,+44.424,11,9,2
Lance Stroll,18,+55.632,13,10,1
Daniel Ricciardo,3,+56.229,15,11,0
Esteban Ocon,31,+1:06.373,12,12,0
Pierre Gasly,10,+1:10.360,10,13,0
Alexander Albon,23,+1:13.184,14,14,0
Nico Hulkenberg,27,+1:23.696,8,15,0
Logan Sargeant,2,+1:27.791,20,16,0
Guanyu Zhou,24,+1:29.422,19,17,0
Carlos Sainz,55,DNF,16,DNF,0
Valtteri Bottas,77,+1 Lap,18,19,0
Kevin Magnussen,20,+1 Lap,17,20,0
