FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Carlos Sainz,55,1:46:37.418,1,1,25
Lando Norris,4,+0.812,4,2,18
Lewis Hamilton,44,+1.269,5,3,16
Charles Leclerc,16,+21.177,3,4,12
Max Verstappen,1,+21.441,11,5,10
Pierre Gasly,10,+38.441,12,6,8
Oscar Piastri,81,+41.479,17,7,6
Sergio Perez,11,+59.534,13,8,4
Liam Lawson,40,+1:05.918,10,9,2
Kevin Magnussen,20,+1:12.116,6,10,1
Alexander Albon,23,+1:13.417,14,11,0
Guanyu Zhou,24,+1:23.649,PLS,12,0
Nico Hulkenberg,27,+1:26.201,9,13,0
Logan Sargeant,2,+1:26.889,18,14,0
Fernando Alonso,14,+1:27.603,7,15,0
George Russell,63,+1 Lap,2,16,0
Valtteri Bottas,77,DNF,16,DNF,0
Esteban Ocon,31,DNF,8,DNF,0
Yuki Tsunoda,22,DNF,15,DNF,0
Lance Stroll,18,DNS,DNS,DNS,0
