FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,37:58.229,1,1,8
George Russell,63,+0.395,5,2,7
Carlos Sainz,55,+0.791,7,3,6
Lewis Hamilton,44,+1.224,8,4,5
Charles Leclerc,16,+1.825,10,5,4
Alexander Albon,23,+2.576,9,6,3
Yuki Tsunoda,22,+2.976,18,7,2
Kimi Antonelli,12,+4.147,11,8,1
Liam Lawson,30,+4.804,15,9,0
Pierre Gasly,10,+5.126,13,10,0
Gabriel Bortoleto,5,+5.649,20,11,0
Isack Hadjar,6,+6.228,12,12,0
Nico Hulkenberg,27,+6.624,4,13,0
Franco Colapinto,43,+8.006,17,14,0
Oliver Bearman,87,+13.576,16,15,0
Esteban Ocon,31,DNF,19,DNF,0
Lance Stroll,18,DNF,14,DNF,0
Lando Norris,4,DNF,2,DNF,0
Oscar Piastri,81,DNF,3,DNF,0
Fernando Alonso,14,DNF,6,DNF,0
