FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Oscar Piastri,81,1:28:51.587,4,1,25
Lando Norris,4,+4.630,2,2,18
George Russell,63,+37.644,5,3,15
Max Verstappen,1,+39.956,1,4,12
Alexander Albon,23,+48.067,7,5,10
Kimi Antonelli,12,+55.502,3,6,8
Charles Leclerc,16,+57.036,8,7,6
Lewis Hamilton,44,+1:00.186,12,8,4
Carlos Sainz,55,+1:00.577,6,9,2
Yuki Tsunoda,22,+1:14.434,10,10,1
Isack Hadjar,6,+1:14.602,11,11,0
Esteban Ocon,31,+1:22.006,9,12,0
Pierre Gasly,10,+1:30.445,20,13,0
Nico Hulkenberg,27,+1 lap,16,14,0
Fernando Alonso,14,+1 lap,17,15,0
Lance Stroll,18,+1 lap,18,16,0
Liam Lawson,30,DNF,15,DNF,0
Gabriel Bortoleto,5,DNF,13,DNF,0
Oliver Bearman,87,DNF,19,DNF,0
Jack Doohan,7,DNF,14,DNF,0
