FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Oscar Piastri,81,35:01.297,1,1,8
Max Verstappen,1,+1.871,3,2,7
Lando Norris,4,+8.497,2,3,6
George Russell,63,+11.036,4,4,5
Lewis Hamilton,44,+17.314,12,5,4
Carlos Sainz,55,+18.806,5,6,3
Alexander Albon,23,+19.864,17,7,2
Fernando Alonso,14,+21.180,9,8,1
Pierre Gasly,10,+21.742,11,9,0
Valtteri Bottas,77,+22.208,13,10,0
Yuki Tsunoda,22,+22.863,18,11,0
Charles Leclerc,16,+24.860,6,12,0
Lance Stroll,18,+1 lap,16,13,0
Kevin Magnussen,20,+1 lap,19,14,0
Guanyu Zhou,24,+1 lap,15,15,0
Nico Hulkenberg,27,DNF,7,DNF,0
Esteban Ocon,31,DNF,10,DNF,0
Sergio Perez,11,DNF,8,DNF,0
Logan Sargeant,2,DNF,20,DNF,0
Liam Lawson,40,DNF,14,DNF,0
