FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:34:05.941,3,1,25
Sergio Perez,11,+20.823,2,2,19
George Russell,63,+45.995,5,3,15
Lewis Hamilton,44,+1:11.679,7,4,12
Pierre Gasly,10,+1:17.299,6,5,10
Sebastian Vettel,5,+1:24.099,9,6,8
Fernando Alonso,14,+1:28.596,10,7,6
Daniel Ricciardo,3,+1:32.207,12,8,4
Lando Norris,4,+1:32.556,11,9,2
Esteban Ocon,31,+1:48.184,13,10,1
Valtteri Bottas,77,+1 Lap,15,11,0
Alexander Albon,23,+1 Lap,17,12,0
Yuki Tsunoda,22,+1 Lap,8,13,0
Mick Schumacher,47,+1 Lap,20,14,0
Nicholas Latifi,6,+1 Lap,18,15,0
Lance Stroll,18,+1 Lap,19,16,0
Kevin Magnussen,20,DNF,16,DNF,0
Guanyu Zhou,24,DNF,14,DNF,0
Charles Leclerc,16,DNF,1,DNF,0
Carlos Sainz,55,DNF,4,DNF,0
