FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lewis Hamilton,44,1:32:03.897,2,1,25
Max Verstappen,33,+0.745,1,2,18
Valtteri Bottas,77,+37.383,3,3,16
Lando Norris,4,+46.466,7,4,12
Sergio Perez,11,+52.047,PLS,5,10
Charles Leclerc,16,+59.090,4,6,8
Daniel Ricciardo,3,+1 Lap,6,7,6
Carlos Sainz,55,+1 Lap,8,8,4
Yuki Tsunoda,22,+1 Lap,13,9,2
Lance Stroll,18,+1 Lap,10,10,1
Kimi Räikkönen,7,+1 Lap,14,11,0
Antonio Giovinazzi,99,+1 Lap,12,12,0
Esteban Ocon,31,+1 Lap,16,13,0
George Russell,63,+1 Lap,15,14,0
Sebastian Vettel,5,+1 Lap,20,15,0
Mick Schumacher,47,+1 Lap,18,16,0
Pierre Gasly,10,DNF,5,DNF,0
Nicholas Latifi,6,DNF,17,DNF,0
Fernando Alonso,14,DNF,9,DNF,0
Nikita Mazepin,9,DNF,19,DNF,0
