FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,3:01:44.004,1,1,25
Sergio Perez,11,+27.066,4,2,18
Charles Leclerc,16,+31.763,2,3,15
Esteban Ocon,31,+39.685,5,4,12
Lewis Hamilton,44,+40.326,6,5,10
Sebastian Vettel,5,+46.358,9,6,8
Fernando Alonso,14,+46.369,7,7,6
George Russell,63,+47.661,8,8,4
Nicholas Latifi,6,+1:10.143,20,9,2
Lando Norris,4,+1:10.782,10,10,1
Daniel Ricciardo,3,+1:12.877,11,11,0
Lance Stroll,18,+1:13.904,19,12,0
Yuki Tsunoda,22,+1:15.599,13,13,0
Kevin Magnussen,20,+1:26.016,18,14,0
Valtteri Bottas,77,+1:26.496,12,15,0
Guanyu Zhou,24,+1:27.043,14,16,0
Mick Schumacher,47,+1:32.523,15,17,0
Pierre Gasly,10,+1:48.091,17,18,0
Carlos Sainz,55,DNF,3,DNF,0
Alexander Albon,23,DNF,16,DNF,0
