FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:25:52.894,14,1,26
Sergio Perez,11,+17.841,2,2,18
Carlos Sainz,55,+26.886,1,3,15
George Russell,63,+29.140,5,4,12
Fernando Alonso,14,+1:13.256,3,5,10
Charles Leclerc,16,+1:14.936,15,6,8
Esteban Ocon,31,+1:15.640,16,7,6
Sebastian Vettel,5,+1:18.107,10,8,4
Pierre Gasly,10,+1:32.181,PLS,9,2
Alexander Albon,23,+1:41.900,6,10,1
Lance Stroll,18,+1:43.078,9,11,0
Lando Norris,4,+1:44.739,17,12,0
Yuki Tsunoda,22,+1:45.217,PLS,13,0
Guanyu Zhou,24,+1:46.252,18,14,0
Daniel Ricciardo,3,+1:47.163,7,15,0
Kevin Magnussen,20,+1 Lap,12,16,0
Mick Schumacher,47,+1 Lap,19,17,0
Nicholas Latifi,6,+1 Lap,11,18,0
Valtteri Bottas,77,DNF,13,DNF,0
Lewis Hamilton,44,DNF,4,DNF,0
