FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,1:40:33.843,1,1,25
Charles Leclerc,16,+3.131,2,2,18
Oscar Piastri,81,+3.658,3,3,15
Max Verstappen,1,+20.572,4,4,12
Lewis Hamilton,44,+51.387,7,5,10
Isack Hadjar,6,+1:05.082,5,6,8
Esteban Ocon,31,+1:06.029,8,7,6
Liam Lawson,30,+1:06.746,9,8,4
Alexander Albon,23,+1 lap,10,9,2
Carlos Sainz,55,+1 lap,11,10,1
George Russell,63,+1 lap,14,11,0
Oliver Bearman,87,+1 lap,20,12,0
Franco Colapinto,43,+1 lap,18,13,0
Gabriel Bortoleto,5,+1 lap,16,14,0
Lance Stroll,18,+1 lap,19,15,0
Nico Hulkenberg,27,+1 lap,13,16,0
Yuki Tsunoda,22,+1 lap,12,17,0
Kimi Antonelli,12,+1 lap,15,18,0
Fernando Alonso,14,DNF,6,DNF,0
Pierre Gasly,10,DNF,17,DNF,0
