FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:22:30.450,6,1,25
Sergio Perez,11,+22.305,2,2,18
Charles Leclerc,16,+32.259,1,3,15
Lewis Hamilton,44,+49.671,3,4,13
Fernando Alonso,14,+56.184,9,5,10
George Russell,63,+1:03.101,8,6,8
Lando Norris,4,+1:13.719,7,7,6
Esteban Ocon,31,+1:14.719,14,8,4
Lance Stroll,18,+1:19.340,10,9,2
Yuki Tsunoda,22,+1:20.221,11,10,1
Pierre Gasly,10,+1:23.084,12,11,0
Valtteri Bottas,77,+1:25.191,13,12,0
Guanyu Zhou,24,+1:35.441,17,13,0
Alexander Albon,23,+1:36.184,15,14,0
Kevin Magnussen,20,+1:41.754,16,15,0
Daniel Ricciardo,3,+1:43.071,19,16,0
Logan Sargeant,2,+1:44.476,18,17,0
Nico Hulkenberg,27,+1:50.450,20,18,0
Carlos Sainz,55,DNF,4,DNF,0
Oscar Piastri,81,DNF,5,DNF,0
