FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Valtteri Bottas,77,27:54.078,1,1,3
Max Verstappen,33,+2.325,3,2,2
Daniel Ricciardo,3,+14.534,5,3,1
Lando Norris,4,+18.835,4,4,0
Lewis Hamilton,44,+20.011,2,5,0
Charles Leclerc,16,+23.442,8,6,0
Carlos Sainz,55,+27.952,7,7,0
Antonio Giovinazzi,99,+31.089,10,8,0
Sergio Perez,11,+31.680,9,9,0
Lance Stroll,18,+38.671,12,10,0
Fernando Alonso,14,+39.795,13,11,0
Sebastian Vettel,5,+41.177,11,12,0
Esteban Ocon,31,+43.373,14,13,0
Nicholas Latifi,6,+45.977,16,14,0
George Russell,63,+46.821,15,15,0
Yuki Tsunoda,22,+49.977,17,16,0
Nikita Mazepin,9,+1:02.599,20,17,0
Robert Kubica,88,+1:05.096,19,18,0
Mick Schumacher,47,+1:06.154,18,19,0
Pierre Gasly,10,DNF,6,DNF,0
