FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,1:37:58.574,1,1,25
Charles Leclerc,16,+30.324,2,2,18
Max Verstappen,1,+31.049,5,3,15
Oliver Bearman,87,+40.955,9,4,12
Oscar Piastri,81,+42.065,7,5,10
Kimi Antonelli,12,+47.837,6,6,8
George Russell,63,+50.287,4,7,6
Lewis Hamilton,44,+56.446,3,8,4
Esteban Ocon,31,+1:15.464,11,9,2
Gabriel Bortoleto,5,+1:16.863,16,10,1
Yuki Tsunoda,22,+1:19.048,10,11,0
Alexander Albon,23,+1 lap,17,12,0
Isack Hadjar,6,+1 lap,8,13,0
Lance Stroll,18,+1 lap,19,14,0
Pierre Gasly,10,+1 lap,18,15,0
Franco Colapinto,43,+1 lap,20,16,0
Carlos Sainz,55,DNF,12,DNF,0
Fernando Alonso,14,DNF,14,DNF,0
Nico Hulkenberg,27,DNF,13,DNF,0
Liam Lawson,30,DNF,15,DNF,0
