FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Oscar Piastri,81,1:35:39.435,1,1,25
George Russell,63,+15.499,3,2,18
Lando Norris,4,+16.273,6,3,15
Charles Leclerc,16,+19.679,2,4,12
Lewis Hamilton,44,+27.993,9,5,10
Max Verstappen,1,+34.395,7,6,8
Pierre Gasly,10,+36.002,4,7,6
Esteban Ocon,31,+44.244,14,8,4
Yuki Tsunoda,22,+45.061,10,9,2
Oliver Bearman,87,+47.594,20,10,1
Kimi Antonelli,12,+48.016,5,11,0
Alexander Albon,23,+48.839,15,12,0
Isack Hadjar,6,+56.314,12,13,0
Jack Doohan,7,+57.806,11,14,0
Fernando Alonso,14,+1:00.340,13,15,0
Liam Lawson,30,+1:04.435,17,16,0
Lance Stroll,18,+1:05.489,19,17,0
Gabriel Bortoleto,5,+1:06.872,18,18,0
Carlos Sainz,55,DNF,8,DNF,0
Nico Hulkenberg,27,DSQ,16,DSQ,0
