FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Charles Leclerc,16,1:37:33.584,1,1,26
Carlos Sainz,55,+5.598,3,2,18
Lewis Hamilton,44,+9.675,5,3,15
George Russell,63,+11.211,9,4,12
Kevin Magnussen,20,+14.754,7,5,10
Valtteri Bottas,77,+16.119,6,6,8
Esteban Ocon,31,+19.423,11,7,6
Yuki Tsunoda,22,+20.386,16,8,4
Fernando Alonso,14,+22.390,8,9,2
Guanyu Zhou,24,+23.064,15,10,1
Mick Schumacher,47,+32.574,12,11,0
Lance Stroll,18,+45.873,19,12,0
Alexander Albon,23,+53.932,14,13,0
Daniel Ricciardo,3,+54.975,18,14,0
Lando Norris,4,+56.335,13,15,0
Nicholas Latifi,6,+1:01.795,20,16,0
Nico Hulkenberg,27,+1:03.829,17,17,0
Sergio Perez,11,+1 Lap,4,18,0
Max Verstappen,1,+1 Lap,2,19,0
Pierre Gasly,10,DNF,10,DNF,0
