FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:27:45.914,1,1,25
Charles Leclerc,16,+8.771,3,2,18
Sergio Perez,11,+10.093,2,3,15
Carlos Sainz,55,+24.892,4,4,12
George Russell,63,+35.888,6,5,10
Lando Norris,4,+56.234,7,6,9
Esteban Ocon,31,+57.240,8,7,6
Lance Stroll,18,+1:16.931,14,8,4
Daniel Ricciardo,3,+1:23.268,13,9,2
Sebastian Vettel,5,+1:23.898,9,10,1
Yuki Tsunoda,22,+1:29.371,11,11,0
Guanyu Zhou,24,+1 Lap,15,12,0
Alexander Albon,23,+1 Lap,19,13,0
Pierre Gasly,10,+1 Lap,17,14,0
Valtteri Bottas,77,+1 Lap,18,15,0
Mick Schumacher,47,+1 Lap,12,16,0
Kevin Magnussen,20,+1 Lap,16,17,0
Lewis Hamilton,44,+1 Lap,5,18,0
Nicholas Latifi,6,+1 Lap,20,19,0
Fernando Alonso,14,DNF,10,DNF,0
