SprintIndex,SeasonID,RaceID,EventIndex,TeamID,DriverID,DriverIDT,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SCLeave,SCEnter,VSCLeave,VSCEnter,Overtakes,Position
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,1,1.0,0,0,0.155,0,0,0,0,,12
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,2,1.0,0,0,0.155,0,0,0,0,0.0,12
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,3.0,3,100.618,100.618,0,0,-,-,-0.355,0.649,-0.030,17,-0.355,0.649,-0.030,17,0.294,S,#CD3C3C,3,1.0,0,0,0.155,0,0,0,0,0.0,12
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,4.0,4,100.958,100.49,1,0,100.554,0.340,-0.687,0.800,-0.287,17,-0.220,0.333,-0.053,17,0.113,S,#CD3C3C,4,1.0,0,0,0.155,0,0,0,0,0.0,12
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,5.0,5,100.363,100.363,0,0,100.427,0.595,0.077,0.114,0.134,17,0.077,0.114,0.134,17,0.191,S,#CD3C3C,5,1.0,0,0,0.155,0,0,0,0,1.0,11
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,6.0,6,100.611,100.611,0,0,100.487,0.248,0.068,0.137,0.137,17,0.068,0.137,0.137,17,0.205,S,#CD3C3C,6,1.0,0,0,0.155,0,0,0,0,0.0,11
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,7.0,7,100.754,100.754,0,0,100.682,0.143,0.009,0.321,0.170,17,0.009,0.321,0.170,17,0.33,S,#CD3C3C,7,1.0,0,0,0.155,0,0,0,0,0.0,11
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,8.0,8,101.351,100.827,1,0,100.791,0.597,-0.447,0.667,-0.114,17,0.077,0.143,0.148,17,0.22,S,#CD3C3C,8,1.0,0,1,0.155,0,0,0,0,0.0,11
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,9.0,9,100.9,100.9,0,0,100.864,0.451,0.181,0.056,0.209,17,0.181,0.056,0.209,17,0.237,S,#CD3C3C,9,1.0,0,0,0.155,0,0,0,0,0.0,11
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,10.0,10,101.182,101.182,0,0,101.041,0.282,0.12,0.201,0.221,17,0.120,0.201,0.221,17,0.321,S,#CD3C3C,10,1.0,0,0,0.155,0,0,0,0,0.0,11
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,11.0,11,101.313,101.313,0,0,101.248,0.131,0.039,0.224,0.151,17,0.039,0.224,0.151,17,0.263,S,#CD3C3C,11,1.0,0,0,0.155,0,0,0,0,0.0,10
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,12.0,12,101.096,101.096,0,0,101.204,0.217,0.136,-0.251,0.011,9,0.136,-0.251,0.011,9,-0.115,S,#CD3C3C,12,1.0,0,0,0.155,0,0,0,0,0.0,9
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,13.0,13,101.337,101.337,0,0,101.216,0.241,-0.374,0.081,-0.334,17,-0.374,0.081,-0.334,17,-0.293,S,#CD3C3C,13,1.0,0,0,0.155,0,0,0,0,0.0,9
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,14.0,14,101.352,101.352,0,0,101.345,0.015,-0.589,-,-,-,-0.589,-,-,-,,S,#CD3C3C,14,1.0,0,0,0.155,0,0,0,0,0.0,9
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,15.0,15,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,15,1.0,1,0,0.155,0,0,0,0,0.0,7
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,16.0,16,-,-,0,1,-,-,-,-,-,-,-,-,-,-,1.364,M,#F0E628,1,2.0,0,0,0.218,0,0,0,0,0.0,14
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,17.0,17,99.939,99.939,0,0,-,-,-0.599,1.071,-0.064,17,-0.599,1.071,-0.064,17,0.472,M,#F0E628,2,2.0,0,0,0.218,0,0,0,0,2.0,12
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,18.0,18,98.76,98.76,0,0,99.35,1.179,0.331,-0.128,0.267,9,0.331,-0.128,0.267,9,0.203,M,#F0E628,3,2.0,0,0,0.218,0,0,0,0,0.0,11
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,19.0,19,99.011,99.011,0,0,98.886,0.251,-0.085,-0.405,-0.287,9,-0.085,0.000,-0.085,17,-0.49,M,#F0E628,4,2.0,0,0,0.218,0,0,0,0,0.0,11
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,20.0,20,99.069,99.069,0,0,99.04,0.058,-0.047,-0.065,-0.080,9,-0.047,-0.065,-0.080,9,-0.112,M,#F0E628,5,2.0,0,0,0.218,0,0,0,0,0.0,11
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,21.0,21,99.294,99.294,0,0,99.182,0.225,-0.108,0.211,-0.003,17,-0.108,0.211,-0.003,17,0.103,M,#F0E628,6,2.0,0,0,0.218,0,0,0,0,0.0,11
2,2022,2022011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,22.0,22,99.574,99.432,1,0,99.363,0.280,-0.186,0.422,0.025,17,-0.043,0.279,0.097,17,0.236,M,#F0E628,7,2.0,0,1,0.218,0,0,0,0,0.0,11
