DriverID,FullName,LastName,SeasonID,SprintIndex,Number,Color,Team,ConsistencyNormalizedAvgTotal,OvertakesNormalizedAvgTotal,QualiTeammateAvgTotal,PaceNormalizedAvgTotal,StartNormalizedAvgTotal,LevelNormalizedAvgTotal,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,LevelNormalizedAvgMean,ConsistencyNormalizedAvgMean,OvertakesNormalizedAvgMean,QualiTeammateAvgMean,PaceNormalizedAvgMean,QualiPositionNormalizedAvgMean,StartNormalizedAvgMean,Label,RacesParticipated,Teammate
32,Jack Doohan,Doohan,2024,2,61,#0093CC,Alpine,1.00,1.00,0.00,1.00,6.67,1.94,1.00,1.00,0.00,1.00,6.67,1.95,6.22,6.45,5.59,4.82,5.27,4.95,5.90,2024,1,Pierre Gasly
32,Jack Doohan,Doohan,Все сезоны,2,61,#0093CC,Все сезоны,1.00,1.00,0.00,1.00,6.67,1.94,1.00,1.00,0.00,1.00,6.67,1.95,6.22,6.45,5.59,4.82,5.27,4.95,5.90,Все сезоны,1,Pierre Gasly
32,Jack Doohan,Doohan,2024,1,61,#0093CC,Alpine,1.00,1.00,0.00,1.00,6.67,1.94,1.00,1.00,0.00,1.00,6.67,1.95,6.23,6.50,5.43,4.81,5.31,5.25,5.94,2024,1,Pierre Gasly
32,Jack Doohan,Doohan,Все сезоны,1,61,#0093CC,Все сезоны,1.00,1.00,0.00,1.00,6.67,1.94,1.00,1.00,0.00,1.00,6.67,1.95,6.23,6.50,5.43,4.81,5.31,5.25,5.94,Все сезоны,1,Pierre Gasly
