SeasonID,EventIndex,EventNumber,RaceID,SprintIndex,Team,PaceDiffAvg,PaceDiffClearAvg,PaceDiffMeanAvg,PaceDiffClearMeanAvg,PaceDiffDeltaAvg,PaceDiffClearDeltaAvg,PaceDiffLapsCountBetterID,PaceDiffClearLapsCountBetterID,PaceDiffValueBetterID,PaceDiffValueBetter
2023,4,4,2023041,1,Mercedes,0.296,0.341,0.305,0.353,0.163,0.19,1.0,1.0,1.0,0.3736976744186046
2023,5,5,2023051,1,Red Bull Racing,0.883,0.939,0.889,0.947,0.2,0.148,2.0,2.0,2.0,0.981358490566038
2023,5,5,2023051,1,Aston Martin,0.161,0.239,0.168,0.246,0.457,0.441,19.0,19.0,19.0,0.4137169811320754
2023,5,5,2023051,1,Mercedes,0.213,0.288,0.221,0.292,0.23,0.204,14.0,14.0,14.0,0.3406792452830189
2023,5,5,2023051,1,Ferrari,0.101,0.187,0.103,0.19,0.194,0.242,8.0,8.0,8.0,0.201377358490566
2023,5,5,2023051,1,Alpine,-0.079,0.004,-0.085,0.001,-0.017,0.039,17.0,17.0,13.0,-0.0727924528301886
2023,5,5,2023051,1,Haas F1 Team,-0.234,-0.135,-0.221,-0.136,0.099,0.002,22.0,22.0,22.0,-0.185377358490566
2023,5,5,2023051,1,Alpha Tauri,-0.288,-0.235,-0.28,-0.225,0.353,0.417,9.0,9.0,9.0,-0.1179811320754716
2023,5,5,2023051,1,Alfa Romeo,-0.312,-0.248,-0.313,-0.246,0.042,0.072,23.0,23.0,3.0,-0.2789999999999999
2023,5,5,2023051,1,Williams,-0.501,-0.409,-0.504,-0.408,0.445,0.435,24.0,24.0,24.0,-0.2837547169811321
2023,5,5,2023051,1,McLaren,-0.761,-0.657,-0.769,-0.662,0.599,0.562,4.0,4.0,4.0,-0.4656346153846153
2023,6,6,2023061,1,Red Bull Racing,0.397,0.485,0.36,0.455,1.545,1.387,2.0,2.0,2.0,1.0970675675675674
2023,6,6,2023061,1,Alpine,0.558,0.626,0.545,0.615,-0.207,-0.082,13.0,13.0,13.0,0.6525694444444444
2023,6,6,2023061,1,Aston Martin,0.161,0.254,-0.006,0.112,1.834,1.708,19.0,19.0,19.0,0.872972602739726
2023,6,6,2023061,1,Ferrari,0.587,0.62,0.579,0.606,-0.085,-0.075,8.0,8.0,8.0,0.6164166666666667
2023,6,6,2023061,1,Williams,-1.031,-0.45,-1.068,-0.451,-0.632,-0.165,24.0,24.0,24.0,-0.6473380281690141
2023,6,6,2023061,1,Haas F1 Team,-1.765,-1.607,-1.431,-1.268,-1.414,-1.465,25.0,25.0,25.0,-1.0801857142857143
2023,6,6,2023061,1,Alpha Tauri,-0.904,-0.553,-0.897,-0.543,0.567,0.189,9.0,9.0,26.0,-0.6320821917808218
2023,6,6,2023061,1,Alfa Romeo,-0.416,-0.263,-0.377,-0.221,-0.216,-0.158,3.0,3.0,3.0,-0.2556438356164383
2023,6,6,2023061,1,McLaren,0.141,0.224,0.182,0.267,0.321,0.218,4.0,4.0,4.0,0.3422608695652174
2023,6,6,2023061,1,Mercedes,0.561,0.616,0.555,0.61,0.138,0.187,1.0,1.0,1.0,0.6237916666666666
2023,7,7,2023071,1,Red Bull Racing,0.644,0.705,0.635,0.7,0.527,0.509,2.0,2.0,2.0,0.8800666666666667
2023,7,7,2023071,1,Mercedes,0.505,0.556,0.515,0.569,0.135,0.178,1.0,1.0,1.0,0.5729833333333334
2023,7,7,2023071,1,Ferrari,0.06,0.138,0.057,0.137,0.231,0.234,8.0,8.0,8.0,0.1817499999999999
2023,7,7,2023071,1,Aston Martin,-0.061,-0.002,-0.057,-0.0,-0.013,-0.008,19.0,19.0,19.0,-0.0499833333333333
2023,7,7,2023071,1,Alpine,-0.107,-0.031,-0.103,-0.027,-0.127,-0.088,17.0,17.0,17.0,-0.0690166666666666
2023,7,7,2023071,1,Alfa Romeo,-0.509,-0.32,-0.526,-0.352,0.716,0.576,23.0,23.0,23.0,-0.1248
2023,7,7,2023071,1,Alpha Tauri,-0.224,-0.119,-0.221,-0.116,0.214,0.174,9.0,9.0,9.0,-0.1269666666666666
2023,7,7,2023071,1,McLaren,-0.24,-0.126,-0.209,-0.108,-0.196,-0.221,4.0,4.0,4.0,-0.1630338983050847
2023,7,7,2023071,1,Haas F1 Team,-0.261,-0.156,-0.318,-0.203,0.335,0.352,25.0,25.0,25.0,-0.116719298245614
2023,7,7,2023071,1,Williams,-0.776,-0.664,-0.784,-0.668,0.38,0.277,24.0,24.0,24.0,-0.5931525423728812
2023,8,8,2023081,1,Red Bull Racing,0.586,0.622,0.568,0.603,0.681,0.684,2.0,2.0,2.0,0.8976271186440679
2023,8,8,2023081,1,Alpine,-0.135,-0.118,-0.153,-0.137,-0.018,-0.021,17.0,17.0,13.0,-0.1253389830508474
2023,8,8,2023081,1,Aston Martin,0.315,0.367,0.29,0.346,0.897,0.917,19.0,19.0,19.0,0.7467288135593221
2023,8,8,2023081,1,Ferrari,0.457,0.514,0.474,0.532,0.058,0.057,6.0,6.0,6.0,0.4713389830508475
2023,8,8,2023081,1,Williams,-0.484,-0.425,-0.411,-0.322,-0.415,-0.236,24.0,24.0,24.0,-0.4746666666666666
