SprintIndex,SeasonID,RaceID,EventIndex,EventAbbreviation,LapNumberFlow,EventAbbMiddleMarker,EventAbbBarsMarker
0,2023,2023040,3,AZR*,1,1,0
0,2023,2023040,3,AZR*,2,0,0
0,2023,2023040,3,AZR*,3,0,0
0,2023,2023040,3,AZR*,4,0,0
0,2023,2023040,3,AZR*,5,0,0
0,2023,2023040,3,AZR*,6,0,0
0,2023,2023040,3,AZR*,7,0,0
0,2023,2023040,3,AZR*,8,0,0
0,2023,2023040,3,AZR*,9,3,1
0,2023,2023040,3,AZR*,10,0,0
0,2023,2023040,3,AZR*,11,0,0
0,2023,2023040,3,AZR*,12,0,0
0,2023,2023040,3,AZR*,13,0,0
0,2023,2023040,3,AZR*,14,0,0
0,2023,2023040,3,AZR*,15,0,0
0,2023,2023040,3,AZR*,16,0,0
0,2023,2023040,3,AZR*,17,0,0
0,2023,2023090,9,AUT*,18,1,0
0,2023,2023090,9,AUT*,19,0,0
0,2023,2023090,9,AUT*,20,0,0
0,2023,2023090,9,AUT*,21,0,0
0,2023,2023090,9,AUT*,22,0,0
0,2023,2023090,9,AUT*,23,0,0
0,2023,2023090,9,AUT*,24,0,0
0,2023,2023090,9,AUT*,25,0,0
0,2023,2023090,9,AUT*,26,0,0
0,2023,2023090,9,AUT*,27,0,0
0,2023,2023090,9,AUT*,28,0,0
0,2023,2023090,9,AUT*,29,3,1
0,2023,2023090,9,AUT*,30,0,0
0,2023,2023090,9,AUT*,31,0,0
0,2023,2023090,9,AUT*,32,0,0
0,2023,2023090,9,AUT*,33,0,0
0,2023,2023090,9,AUT*,34,0,0
0,2023,2023090,9,AUT*,35,0,0
0,2023,2023090,9,AUT*,36,0,0
0,2023,2023090,9,AUT*,37,0,0
0,2023,2023090,9,AUT*,38,0,0
0,2023,2023090,9,AUT*,39,0,0
0,2023,2023090,9,AUT*,40,0,0
0,2023,2023090,9,AUT*,41,0,0
0,2023,2023120,13,BEL*,42,1,0
0,2023,2023120,13,BEL*,43,0,0
0,2023,2023120,13,BEL*,44,0,0
0,2023,2023120,13,BEL*,45,0,0
0,2023,2023120,13,BEL*,46,0,0
0,2023,2023120,13,BEL*,47,3,1
0,2023,2023120,13,BEL*,48,0,0
0,2023,2023120,13,BEL*,49,0,0
0,2023,2023120,13,BEL*,50,0,0
0,2023,2023120,13,BEL*,51,0,0
0,2023,2023120,13,BEL*,52,0,0
0,2023,2023170,19,QAT*,53,1,0
0,2023,2023170,19,QAT*,54,0,0
0,2023,2023170,19,QAT*,55,0,0
0,2023,2023170,19,QAT*,56,0,0
0,2023,2023170,19,QAT*,57,0,0
0,2023,2023170,19,QAT*,58,0,0
0,2023,2023170,19,QAT*,59,0,0
0,2023,2023170,19,QAT*,60,0,0
0,2023,2023170,19,QAT*,61,0,0
0,2023,2023170,19,QAT*,62,3,1
0,2023,2023170,19,QAT*,63,0,0
0,2023,2023170,19,QAT*,64,0,0
0,2023,2023170,19,QAT*,65,0,0
0,2023,2023170,19,QAT*,66,0,0
0,2023,2023170,19,QAT*,67,0,0
0,2023,2023170,19,QAT*,68,0,0
0,2023,2023170,19,QAT*,69,0,0
0,2023,2023170,19,QAT*,70,0,0
0,2023,2023170,19,QAT*,71,0,0
0,2023,2023180,21,USA*,72,1,0
0,2023,2023180,21,USA*,73,0,0
0,2023,2023180,21,USA*,74,0,0
0,2023,2023180,21,USA*,75,0,0
0,2023,2023180,21,USA*,76,0,0
0,2023,2023180,21,USA*,77,0,0
0,2023,2023180,21,USA*,78,0,0
0,2023,2023180,21,USA*,79,0,0
0,2023,2023180,21,USA*,80,0,0
0,2023,2023180,21,USA*,81,3,1
0,2023,2023180,21,USA*,82,0,0
0,2023,2023180,21,USA*,83,0,0
0,2023,2023180,21,USA*,84,0,0
0,2023,2023180,21,USA*,85,0,0
0,2023,2023180,21,USA*,86,0,0
0,2023,2023180,21,USA*,87,0,0
0,2023,2023180,21,USA*,88,0,0
0,2023,2023180,21,USA*,89,0,0
0,2023,2023180,21,USA*,90,0,0
0,2023,2023200,24,BRA*,91,1,0
0,2023,2023200,24,BRA*,92,0,0
0,2023,2023200,24,BRA*,93,0,0
0,2023,2023200,24,BRA*,94,0,0
0,2023,2023200,24,BRA*,95,0,0
0,2023,2023200,24,BRA*,96,0,0
0,2023,2023200,24,BRA*,97,0,0
0,2023,2023200,24,BRA*,98,0,0
0,2023,2023200,24,BRA*,99,0,0
0,2023,2023200,24,BRA*,100,0,0
0,2023,2023200,24,BRA*,101,0,0
0,2023,2023200,24,BRA*,102,3,1
0,2023,2023200,24,BRA*,103,0,0
0,2023,2023200,24,BRA*,104,0,0
0,2023,2023200,24,BRA*,105,0,0
0,2023,2023200,24,BRA*,106,0,0
0,2023,2023200,24,BRA*,107,0,0
0,2023,2023200,24,BRA*,108,0,0
0,2023,2023200,24,BRA*,109,0,0
0,2023,2023200,24,BRA*,110,0,0
0,2023,2023200,24,BRA*,111,0,0
0,2023,2023200,24,BRA*,112,0,0
0,2023,2023200,24,BRA*,113,0,0
0,2023,2023200,24,BRA*,114,0,0
