SeasonID,EventIndex,EventNumber,RaceID,SprintIndex,TeamID,PaceDiffAvg,PaceDiffClearAvg,PaceDiffMeanAvg,PaceDiffClearMeanAvg,PaceDiffDeltaAvg,PaceDiffClearDeltaAvg,PaceDiffLapsCountBetterID,PaceDiffClearLapsCountBetterID,PaceDiffValueBetterID,PaceDiffValueBetter,EventID
2023,21,18,2023180,0,18,-0.621,-0.597,-0.621,-0.597,1.758,1.709,24.0,24.0,24,0.2578823529411764,40
2023,21,18,2023180,0,2,-0.334,-0.288,-0.334,-0.288,0.027,0.007,9.0,9.0,7,-0.3204117647058823,40
2023,21,18,2023180,0,4,-0.462,-0.32,-0.424,-0.306,0.313,0.189,19.0,19.0,19,-0.3720588235294118,40
2023,21,18,2023180,0,7,-1.255,-1.144,-1.255,-1.144,0.946,0.969,25.0,25.0,25,-0.7825294117647058,40
2023,21,18,2023180,0,1,-1.111,-1.023,-1.111,-1.023,-0.049,-0.01,23.0,3.0,23,-1.0862941176470589,40
2023,24,20,2023200,0,14,1.1,1.144,1.1,1.144,0.507,0.441,2.0,2.0,2,1.3531818181818185,37
2023,24,20,2023200,0,9,0.542,0.591,0.542,0.591,1.362,1.393,4.0,4.0,4,1.2225909090909088,37
2023,24,20,2023200,0,10,0.045,0.16,0.045,0.16,0.325,0.292,14.0,14.0,14,0.2075000000000001,37
2023,24,20,2023200,0,5,0.083,0.142,0.083,0.142,0.245,0.204,6.0,6.0,6,0.2055,37
2023,24,20,2023200,0,2,0.092,0.189,0.092,0.189,0.232,0.176,9.0,9.0,9,0.2083636363636363,37
2023,24,20,2023200,0,4,-0.066,0.017,-0.066,0.017,-0.029,-0.037,10.0,10.0,10,-0.0515909090909091,37
2023,24,20,2023200,0,3,-0.225,-0.173,-0.225,-0.173,0.009,0.05,17.0,17.0,17,-0.2206818181818182,37
2023,24,20,2023200,0,18,-0.552,-0.401,-0.552,-0.401,0.75,0.537,24.0,24.0,24,-0.1771818181818181,37
2023,24,20,2023200,0,7,-0.986,-0.834,-0.986,-0.834,0.148,0.058,22.0,22.0,22,-0.911909090909091,37
2023,24,20,2023200,0,1,-0.924,-0.836,-0.924,-0.836,0.146,0.145,23.0,23.0,23,-0.8507272727272728,37
