SeasonID,EventIndex,EventNumber,RaceID,SprintIndex,DriverID,DriverIDT,TeamID,Number,Laptime,LaptimeClear,PaceDiff,PaceDiffClear,PaceMarker,PLabel,PaceAvg,PaceClearAvg,PaceAvgLabel,PaceClearAvgLabel,PacePelotoneAvg,PaceClearPelotoneAvg,PacePelotoneAvgLabel,PaceClearPelotoneAvgLabel,PaceDiffRankOrder,PaceDiffClearRankOrder,PaceDiffByWorst,PaceDiffClearByWorst,PaceDiffByBest,PaceDiffClearByBest,PaceDiffBetterLapsCount,PaceDiffBetterLapsCountSum,PaceDiffBetterLapsCountPerc,EventID
2023,0,1,2023011,1,2,2-14,14,1,97.455,97.414,1.037,1.079,98.475,1,97.455,97.414,01:37.455,01:37.414,98.475,98.418,01:38.475,01:38.418,1,1,2.026,2.011,0.0,0.0,29.0,45.0,64.4,7
2023,0,1,2023011,1,17,17-3,3,10,98.265,98.224,0.107,0.148,98.475,9,98.265,98.224,01:38.265,01:38.224,98.475,98.418,01:38.475,01:38.418,6,8,1.096,1.08,0.93,0.931,7.0,26.0,26.9,7
2023,0,1,2023011,1,5,5-14,14,11,97.673,97.611,0.824,0.886,98.475,2,97.673,97.611,01:37.673,01:37.611,98.475,98.418,01:38.475,01:38.418,2,2,1.813,1.818,0.2129999999999999,0.1929999999999999,16.0,45.0,35.6,7
2023,0,1,2023011,1,19,19-4,4,14,98.112,98.039,0.352,0.426,98.475,3,98.112,98.039,01:38.112,01:38.039,98.475,98.418,01:38.475,01:38.418,4,4,1.341,1.358,0.6849999999999999,0.653,33.0,46.0,71.7,7
2023,0,1,2023011,1,6,6-5,5,16,98.348,98.311,0.585,0.622,98.885,DNF,98.348,98.311,01:38.348,01:38.311,98.475,98.418,01:38.475,01:38.418,3,3,1.5739999999999998,1.554,0.4519999999999999,0.4569999999999999,25.0,31.0,80.6,7
2023,0,1,2023011,1,10,10-4,4,18,98.382,98.311,0.097,0.168,98.475,6,98.382,98.311,01:38.382,01:38.311,98.475,98.418,01:38.475,01:38.418,7,6,1.086,1.1,0.94,0.911,13.0,46.0,28.3,7
2023,0,1,2023011,1,27,27-18,18,2,98.861,98.814,-0.415,-0.368,98.488,12,98.861,98.814,01:38.861,01:38.814,98.475,98.418,01:38.475,01:38.418,15,16,0.5740000000000001,0.5640000000000001,1.452,1.447,27.0,45.0,60.0,7
2023,0,1,2023011,1,22,22-7,7,20,99.04,98.968,-0.548,-0.477,98.488,13,99.04,98.968,01:39.040,01:38.968,98.475,98.418,01:38.475,01:38.418,17,17,0.4409999999999999,0.455,1.585,1.556,25.0,44.0,56.8,7
2023,0,1,2023011,1,26,26-2,2,21,99.397,99.324,-0.989,-0.916,98.488,14,99.397,99.324,01:39.397,01:39.324,98.475,98.418,01:38.475,01:38.418,20,19,0.0,0.016,2.026,1.995,15.0,46.0,32.6,7
2023,0,1,2023011,1,9,9-2,2,22,98.607,98.557,-0.23,-0.181,98.475,11,98.607,98.557,01:38.607,01:38.557,98.475,98.418,01:38.475,01:38.418,11,11,0.759,0.7510000000000001,1.267,1.26,31.0,46.0,67.4,7
2023,0,1,2023011,1,24,24-18,18,23,98.672,98.642,-0.284,-0.254,98.475,10,98.672,98.642,01:38.672,01:38.642,98.475,98.418,01:38.475,01:38.418,13,13,0.7050000000000001,0.678,1.321,1.333,18.0,45.0,40.0,7
2023,0,1,2023011,1,23,23-1,1,24,99.207,99.15,-0.815,-0.758,98.488,16,99.207,99.15,01:39.207,01:39.150,98.475,98.418,01:38.475,01:38.418,18,18,0.174,0.174,1.852,1.837,12.0,42.0,28.6,7
2023,0,1,2023011,1,25,25-7,7,27,98.839,98.75,-0.438,-0.349,98.488,15,98.839,98.75,01:38.839,01:38.750,98.475,98.418,01:38.475,01:38.418,16,15,0.5509999999999999,0.5830000000000001,1.475,1.428,19.0,44.0,43.2,7
