SeasonID,EventIndex,EventNumber,RaceID,SprintIndex,TeamID,PaceDiffAvg,PaceDiffClearAvg,PaceDiffMeanAvg,PaceDiffClearMeanAvg,PaceDiffDeltaAvg,PaceDiffClearDeltaAvg,PaceDiffLapsCountBetterID,PaceDiffClearLapsCountBetterID,PaceDiffValueBetterID,PaceDiffValueBetter,EventID
2024,0,1,2024011,2,14,1.009,1.092,1.023,1.108,0.469,0.522,2.0,2.0,2,1.215196078431373,7
2024,0,1,2024011,2,5,0.608,0.653,0.606,0.652,0.383,0.365,8.0,8.0,8,0.7633333333333334,7
2024,0,1,2024011,2,10,0.335,0.409,0.334,0.413,-0.101,-0.07,1.0,1.0,1,0.3468431372549019,7
2024,0,1,2024011,2,9,0.348,0.391,0.34,0.386,0.044,0.053,4.0,4.0,4,0.3812745098039216,7
2024,0,1,2024011,2,4,-0.195,-0.117,-0.174,-0.092,0.294,0.33,19.0,19.0,19,-0.0456666666666666,7
2024,0,1,2024011,2,8,-0.747,-0.626,-0.8,-0.678,0.152,0.129,23.0,23.0,23,-0.59748,7
2024,0,1,2024011,2,7,-0.293,-0.195,-0.291,-0.19,-0.639,-0.665,25.0,25.0,25,0.03724,7
2024,0,1,2024011,2,11,-0.574,-0.519,-0.554,-0.497,0.051,0.008,equal,9.0,7,-0.53834,7
2024,0,1,2024011,2,18,-0.667,-0.55,-0.644,-0.548,-0.018,-0.18,27.0,27.0,24,-0.6331,7
2024,0,1,2024011,2,3,-0.697,-0.614,-0.708,-0.618,-0.703,-0.582,17.0,17.0,17,-0.4012291666666667,7
2024,1,2,2024021,2,14,1.175,1.224,1.175,1.224,0.176,0.142,2.0,2.0,2,1.2632954545454549,32
2024,1,2,2024021,2,3,-,-,-,-,-,-,,,-,,32
2024,1,2,2024021,2,4,0.426,0.457,0.314,0.359,1.129,1.219,19.0,19.0,19,0.4719545454545455,32
2024,1,2,2024021,2,5,0.54,0.588,0.54,0.588,0.558,0.578,6.0,6.0,6,0.8191363636363636,32
2024,1,2,2024021,2,18,-0.885,-0.811,-0.903,-0.828,-0.289,-0.345,24.0,24.0,24,-0.7267954545454546,32
2024,1,2,2024021,2,7,-0.424,-0.369,-0.414,-0.357,-0.534,-0.557,25.0,25.0,25,-0.1470714285714285,32
2024,1,2,2024021,2,11,-1.173,-0.978,-1.173,-0.978,0.317,0.145,7.0,9.0,9,-1.014395348837209,32
2024,1,2,2024021,2,8,-0.759,-0.695,-0.774,-0.707,0.335,0.265,23.0,23.0,23,-0.6134390243902439,32
2024,1,2,2024021,2,9,0.575,0.672,0.583,0.682,0.05,0.028,4.0,4.0,4,0.6075714285714287,32
2024,1,2,2024021,2,10,0.431,0.508,0.435,0.514,0.162,0.235,1.0,1.0,1,0.5163333333333333,32
2024,2,3,2024031,2,14,-,-,-,-,-,-,,,-,,2
2024,2,3,2024031,2,3,-0.615,-0.472,-0.587,-0.435,-0.146,-0.15,13.0,13.0,13,-0.4947659574468084,2
