SeasonID,EventIndex,EventNumber,RaceID,SprintIndex,Team,PaceDiffAvg,PaceDiffClearAvg,PaceDiffMeanAvg,PaceDiffClearMeanAvg,PaceDiffDeltaAvg,PaceDiffClearDeltaAvg,PaceDiffLapsCountBetterID,PaceDiffClearLapsCountBetterID,PaceDiffValueBetterID,PaceDiffValueBetter
2022,0,1,2022011,2,Red Bull Racing,1.377,1.406,1.366,1.388,0.049,0.015,5.0,5.0,2.0,1.512138888888889
2022,0,1,2022011,2,Alpha Tauri,-0.025,0.036,-0.061,0.001,0.186,0.18,17.0,17.0,17.0,0.0536315789473684
2022,0,1,2022011,2,Alpine,-0.112,-0.052,-0.169,-0.101,-0.451,-0.434,13.0,13.0,13.0,0.0347142857142857
2022,0,1,2022011,2,Ferrari,1.467,1.497,1.498,1.529,0.314,0.28,6.0,6.0,6.0,1.6021999999999998
2022,0,1,2022011,2,Aston Martin,-1.216,-1.071,-1.186,-1.035,0.541,0.387,10.0,10.0,10.0,-0.9234651162790698
2022,0,1,2022011,2,Haas F1 Team,-0.286,-0.211,-0.337,-0.258,1.127,1.079,22.0,22.0,22.0,0.2149090909090909
2022,0,1,2022011,2,Williams,-1.414,-1.292,-1.437,-1.306,0.325,0.318,24.0,24.0,24.0,-1.235651162790698
2022,0,1,2022011,2,Alfa Romeo,-0.071,0.009,-0.064,0.019,0.023,-0.025,23.0,3.0,3.0,-0.0445681818181818
2022,0,1,2022011,2,McLaren,-1.294,-1.185,-1.261,-1.164,0.299,0.198,7.0,7.0,7.0,-1.126279069767442
2022,0,1,2022011,2,Mercedes,0.822,0.883,0.782,0.846,0.203,0.252,14.0,14.0,1.0,0.9788604651162788
2022,1,2,2022021,2,Red Bull Racing,1.443,1.508,1.449,1.514,0.073,0.132,2.0,2.0,2.0,1.4731052631578947
2022,1,2,2022021,2,Alpha Tauri,-,-,-,-,-,-,,,-,
2022,1,2,2022021,2,Alpine,-0.294,-0.236,-0.294,-0.246,0.3,0.324,19.0,19.0,19.0,-0.1441481481481481
2022,1,2,2022021,2,Ferrari,1.424,1.491,1.424,1.491,0.147,0.215,6.0,6.0,6.0,1.4975789473684216
2022,1,2,2022021,2,Aston Martin,-1.626,-1.229,-1.684,-1.258,-1.056,-0.284,25.0,25.0,25.0,-1.1188947368421054
2022,1,2,2022021,2,Haas F1 Team,-,-,-,-,-,-,,,-,
2022,1,2,2022021,2,Williams,-1.464,-1.389,-1.599,-1.459,-0.155,-0.066,18.0,18.0,24.0,-1.4123939393939395
