SeasonID,RaceID,SprintIndex,Team,PaceDiffAvg,PaceDiffClearAvg,PaceDiffMeanAvg,PaceDiffClearMeanAvg,PaceDiffDeltaAvg,PaceDiffClearDeltaAvg,PaceDiffLapsCountBetterID,PaceDiffClearLapsCountBetterID,PaceDiffValueBetterID,PaceDiffValueBetter
2022,2022011,1,Williams,-1.4142325581395347,-1.2916627906976743,-1.4372875,-1.3055249999999998,-0.3571627906976744,-0.3505813953488372,24.0,24.0,24.0,-1.235651162790698
2022,2022021,1,Williams,-1.4644222222222223,-1.389133333333333,-1.599,-1.4590999999999998,-0.1951060606060604,-0.1894772727272726,18.0,18.0,24.0,-1.4123939393939395
2022,2022031,1,Williams,-0.6892289156626507,-0.6285421686746988,-0.6841250000000001,-0.6211625,-0.5158153310104531,-0.4756724738675959,24.0,24.0,24.0,-0.4344285714285715
2022,2022041,1,Williams,-0.6915363636363636,-0.5895454545454545,-0.7048981481481482,-0.6010185185185185,-0.049690909090909,0.0505818181818182,18.0,18.0,24.0,-0.6666909090909092
2022,2022051,1,Williams,-1.0281011235955058,-0.8617865168539326,-1.0041190476190476,-0.8468214285714285,-1.0762505050505051,-1.0778166666666666,24.0,24.0,24.0,-0.4960222222222221
2022,2022061,1,Williams,-1.5638,-1.353890909090909,-1.58797,-1.37124,-0.3530548941798939,-0.4211170634920633,18.0,18.0,18.0,-1.390482142857143
2022,2022071,1,Williams,-0.3936470588235294,-0.1291764705882352,0.2390625,0.486109375,-0.4980798368298369,-0.474871794871795,18.0,18.0,24.0,-0.0889393939393938
2022,2022081,1,Williams,-1.035607594936709,-0.8670253164556962,-1.0641805555555557,-0.8792083333333333,-1.5372237179487178,-1.4003769230769232,24.0,24.0,24.0,-0.276725
2022,2022091,1,Williams,-0.9822685185185186,-0.8927592592592594,-0.9818653846153846,-0.9018557692307692,-0.6731111492281302,-0.6462497427101201,24.0,24.0,24.0,-0.6519454545454547
2022,2022101,1,Williams,,,,,,,,,,
2022,2022111,1,Williams,-0.6228431372549019,-0.4982254901960785,-0.5887631578947369,-0.4895921052631578,-0.4654818072770892,-0.4252415033986405,24.0,24.0,24.0,-0.4357377049180326
2022,2022121,1,Williams,-0.733421052631579,-0.6445526315789474,-0.6814516129032258,-0.6151935483870967,-0.1195813620071684,-0.1624530465949821,24.0,24.0,24.0,-0.6846444444444445
2022,2022131,1,Williams,-0.7158157894736842,-0.5856754385964912,-0.6858867924528301,-0.5487641509433963,-0.0303362068965518,-0.0305418719211821,24.0,24.0,24.0,-0.7009137931034484
2022,2022141,1,Williams,-0.8408550724637681,-0.760231884057971,-0.8057,-0.72095,-0.2699075630252101,-0.1776672268907562,18.0,18.0,24.0,-0.7078571428571429
2022,2022151,1,Williams,-0.9733611111111112,-0.8815185185185185,-0.9455744680851064,-0.8556702127659576,-0.775233962264151,-0.6432754716981133,24.0,24.0,24.0,-0.5785660377358491
2022,2022161,1,Williams,-0.60795,-0.5323,-0.6296756756756757,-0.5536351351351352,-0.3625741088180112,-0.2781388367729831,26.0,26.0,26.0,-0.4311951219512195
2022,2022171,1,Williams,-2.0464444444444445,-1.9783333333333333,-2.716375,-2.634375,-0.947642857142857,-1.035214285714286,24.0,24.0,24.0,-1.8358571428571435
2022,2022181,1,Williams,,,,,,,,,,
2022,2022191,1,Williams,-1.2790357142857145,-1.1895,-1.3071282051282052,-1.2107051282051282,-0.6165178672716959,-0.5396154282473058,24.0,24.0,24.0,-0.9781162790697674
2022,2022201,1,Williams,-0.9096929133858268,-0.7556929133858268,-0.9359491525423728,-0.776949152542373,-1.084637965260546,-1.005979900744417,24.0,24.0,24.0,-0.3801846153846154
2022,2022211,1,Williams,-0.9972843137254902,-0.9226960784313724,-0.9987765957446808,-0.9196702127659574,-0.155313725490196,-0.1312352941176471,24.0,18.0,24.0,-0.919627450980392
2022,2022221,1,Williams,-0.8128181818181818,-0.7044040404040405,-0.7856136363636363,-0.6923636363636363,-0.5575110294117648,-0.5121715686274508,24.0,24.0,24.0,-0.5425098039215688
