SprintIndex,SeasonID,RaceID,EventIndex,TeamID,DriverID,DriverIDT,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SCLeave,SCEnter,VSCLeave,VSCEnter,Overtakes,Position
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,I,#50A078,1,1.0,0,0,-,0,1,0,0,,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,I,#50A078,2,1.0,1,0,-,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,3.0,3,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,I,#50A078,3,2.0,1,0,-,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,4.0,4,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,I,#50A078,4,3.0,1,0,-,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,5.0,5,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,I,#50A078,5,4.0,0,0,0.263,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,6.0,6,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,I,#50A078,6,4.0,0,0,0.263,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,7.0,7,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,I,#50A078,7,4.0,0,0,0.263,1,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,8.0,8,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,I,#50A078,8,4.0,0,0,0.263,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,9.0,9,96.51,96.51,0,0,-,-,-0.368,0.153,-0.445,25,-0.368,0.153,-0.445,25,-0.521,I,#50A078,9,4.0,0,0,0.263,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,10.0,10,95.044,95.044,0,0,95.777,1.466,-0.321,0.581,-0.612,25,-0.321,0.581,-0.612,25,-0.902,I,#50A078,10,4.0,0,0,0.263,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,11.0,11,94.99,94.99,0,0,95.017,0.054,-0.772,-0.335,-0.605,34,-0.772,-0.335,-0.605,34,-0.437,I,#50A078,11,4.0,0,0,0.263,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,12.0,12,94.989,94.989,0,0,94.989,0.001,-1.32,-0.607,-1.016,34,-1.320,-0.607,-1.016,34,-0.713,I,#50A078,12,4.0,0,0,0.263,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,13.0,13,94.064,94.064,0,0,94.526,0.925,-0.958,0.319,-1.117,25,-0.958,0.319,-1.117,25,-1.277,I,#50A078,13,4.0,0,0,0.263,0,0,0,0,0.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,14.0,14,95.018,93.838,1,0,93.951,0.954,-2.331,-0.916,-1.873,34,-1.151,0.264,-1.283,25,-1.415,I,#50A078,14,4.0,0,0,0.263,0,0,0,0,-1.0,13
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,15.0,15,93.611,93.611,0,0,93.724,1.407,-1.215,0.081,-1.256,25,-1.215,0.081,-1.256,25,-1.296,I,#50A078,15,4.0,0,0,0.263,0,0,0,0,0.0,13
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,16.0,16,93.856,93.856,0,0,93.733,0.245,-1.433,0.255,-1.560,25,-1.433,0.255,-1.560,25,-1.688,I,#50A078,16,4.0,0,0,0.263,0,0,0,0,1.0,12
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,17.0,17,94.817,93.826,1,0,93.841,0.961,-1.963,-0.061,-1.933,34,-0.972,0.930,-1.437,25,-1.902,I,#50A078,17,4.0,0,0,0.263,0,0,0,0,-1.0,13
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,18.0,18,93.796,93.796,0,0,93.811,1.021,-0.839,0.096,-0.887,25,-0.839,0.096,-0.887,25,-0.935,I,#50A078,18,4.0,0,0,0.263,0,0,0,0,0.0,13
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,19.0,19,93.52,93.52,0,0,93.658,0.276,-0.737,0.386,-0.930,25,-0.737,0.386,-0.930,25,-1.123,I,#50A078,19,4.0,0,0,0.263,0,0,0,0,0.0,13
2,2025,2025011,0,8,25,25-8,HUL,Nico Hulkenberg,27,#64D064,20.0,20,93.867,93.867,0,0,93.694,0.347,-1.467,-0.539,-1.198,34,-1.467,-0.539,-1.198,34,-0.928,I,#50A078,20,4.0,0,1,0.263,0,0,0,0,0.0,13
