DriverID,FullName,SeasonID,SprintIndex,Number,Color,Team,DriverIDT,NationCode,NationNameRus,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QTDiscrAvg,ConsistencyTeammateDiscreteAvg,PaceTeammateDiscreteAvg,StartTeammateDiscreteAvg,OvertakesTeammateDiscreteAvg,MistakesTeammateDiscreteAvg,QTNormAvg,ConsistencyTeammateNormalizedAvg,PaceTeammateNormalizedAvg,StartTeammateNormalizedAvg,OvertakesTeammateNormalizedAvg,MistakesTeammateNormalizedAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,Label,RacesParticipated,Teammate,TeammateAbb
3,Valtteri Bottas,2021,0,77,#0AA395,Mercedes,3-10,FIN,Финляндия,9.65,5.33,-,10.00,6.67,6.666666666666666,3.333333333333333,10.00,,6.50,5.35,5.8995878076870225,4.285714285714286,9.037828947368421,9.67,6.31,8.38,2021,3.0,Lewis Hamilton,HAM
3,Valtteri Bottas,2021,1,77,#0AA395,Mercedes,3-10,FIN,Финляндия,6.88,6.38,2.27,3.33,1.67,1.6666666666666665,4.444444444444445,3.64,4.757014482179542,4.63,4.44,4.502769067767208,5.078323049909792,4.67794641401399,7.87,5.13,6.52,2021,22.0,Lewis Hamilton,HAM
3,Valtteri Bottas,2021,2,77,#0AA395,Mercedes,3-10,FIN,Финляндия,7.27,6.23,2.27,4.29,2.38,2.380952380952381,4.285714285714286,4.40,4.757014482179542,4.91,4.57,4.702314602041467,4.959431735280465,5.272475850380502,8.12,5.28,6.78,2021,25.0,Lewis Hamilton,HAM
3,Valtteri Bottas,2022,0,77,#752020,Alfa Romeo,3-1,FIN,Финляндия,6.71,7.77,2.27,10.00,10.00,5.0,0.0,10.00,4.757014482179542,6.24,5.17,5.219242902208201,4.166666666666666,7.779890067471768,5.88,4.29,6.49,2022,3.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,2022,1,77,#752020,Alfa Romeo,3-1,FIN,Финляндия,6.50,4.87,6.36,4.00,6.00,4.666666666666667,3.333333333333333,4.09,5.641335845551458,5.42,5.24,4.529665982568842,4.7197535692031884,5.613601564255908,4.39,3.65,5.79,2022,22.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,2022,2,77,#752020,Alfa Romeo,3-1,FIN,Финляндия,6.53,5.27,6.36,4.71,6.47,4.705882352941177,2.9411764705882355,4.80,5.641335845551458,5.52,5.23,4.610792678997003,4.654684521845952,5.88438762715789,4.60,3.73,5.89,2022,25.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,2023,0,77,#752020,Alfa Romeo,3-1,FIN,Финляндия,3.97,4.49,5.00,1.67,3.33,8.333333333333334,1.6666666666666665,1.67,5.1012481158121705,4.14,4.03,5.980303253217775,3.309815592903828,4.75571224765353,2.58,4.73,4.18,2023,6.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,2023,1,77,#752020,Alfa Romeo,3-1,FIN,Финляндия,5.76,3.80,7.27,5.50,5.00,4.0,3.0,3.18,5.840216110986267,4.23,4.48,4.215179583537317,4.133896063083853,4.464701199335992,3.06,4.55,5.23,2023,22.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,2023,2,77,#752020,Alfa Romeo,3-1,FIN,Финляндия,5.36,3.95,6.79,4.62,4.62,5.0,2.692307692307692,2.86,5.681865826306104,4.21,4.38,4.622515815002038,3.943723646888463,4.52066486247398,2.96,4.59,5.00,2023,28.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,2024,0,77,#64D064,Kick Sauber,3-8,FIN,Финляндия,5.76,4.40,8.33,8.33,5.00,5.0,5.0,6.67,6.232215359181766,5.39,5.70,4.672547153697875,5.06038961038961,5.5687809620639594,2.74,4.95,5.40,2024,6.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,2024,1,77,#64D064,Kick Sauber,3-8,FIN,Финляндия,4.58,4.20,8.75,5.24,5.24,5.7142857142857135,4.761904761904762,5.83,6.379596121404335,5.07,5.09,4.643265644431533,4.966394986522281,5.6442807189444135,2.49,4.51,4.51,2024,24.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,2024,2,77,#64D064,Kick Sauber,3-8,FIN,Финляндия,4.83,4.24,8.67,5.93,5.19,5.555555555555555,4.814814814814815,6.00,6.34910354991001,5.14,5.22,4.64977264649072,4.987282680715021,5.628660079589835,2.54,4.60,4.69,2024,30.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,Все сезоны,0,77,#64D064,Все сезоны,3-8,FIN,Финляндия,6.53,5.50,6.67,7.50,6.25,6.25,2.5,7.08,5.666731737496969,5.57,5.06,5.442920279202719,4.2056465389185975,6.7855530561394195,5.22,5.07,6.11,Все сезоны,30.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,Все сезоны,1,77,#64D064,Все сезоны,3-8,FIN,Финляндия,5.93,4.81,6.16,4.52,4.48,4.011904761904762,3.884920634920635,4.19,5.654540640030401,4.84,4.81,4.472720069576225,4.7245919171797786,5.100132474137576,4.45,4.46,5.51,Все сезоны,30.0,Guanyu Zhou,ZHO
3,Valtteri Bottas,Все сезоны,2,77,#64D064,Все сезоны,3-8,FIN,Финляндия,6.00,4.92,6.02,4.88,4.66,4.410597572362279,3.683503315856257,4.51,5.607329925986779,4.94,4.85,4.6463489356328065,4.636280646182476,5.326547104900552,4.56,4.55,5.59,Все сезоны,30.0,Guanyu Zhou,ZHO
