SprintIndex,SeasonID,RaceID,EventIndex,EventAbbreviation,LapNumberFlow,EventAbbMiddleMarker,EventAbbBarsMarker
2,2021,2021011,0,BAH,1,1,0
2,2021,2021011,0,BAH,2,0,0
2,2021,2021011,0,BAH,3,0,0
2,2021,2021011,0,BAH,4,0,0
2,2021,2021011,0,BAH,5,0,0
2,2021,2021011,0,BAH,6,0,0
2,2021,2021011,0,BAH,7,0,0
2,2021,2021011,0,BAH,8,0,0
2,2021,2021011,0,BAH,9,0,0
2,2021,2021011,0,BAH,10,0,0
2,2021,2021011,0,BAH,11,0,0
2,2021,2021011,0,BAH,12,0,0
2,2021,2021011,0,BAH,13,0,0
2,2021,2021011,0,BAH,14,0,0
2,2021,2021011,0,BAH,15,0,0
2,2021,2021011,0,BAH,16,0,0
2,2021,2021011,0,BAH,17,0,0
2,2021,2021011,0,BAH,18,0,0
2,2021,2021011,0,BAH,19,0,0
2,2021,2021011,0,BAH,20,0,0
2,2021,2021011,0,BAH,21,0,0
2,2021,2021011,0,BAH,22,0,0
2,2021,2021011,0,BAH,23,0,0
2,2021,2021011,0,BAH,24,0,0
2,2021,2021011,0,BAH,25,0,0
2,2021,2021011,0,BAH,26,0,0
2,2021,2021011,0,BAH,27,0,0
2,2021,2021011,0,BAH,28,0,0
2,2021,2021011,0,BAH,29,4,1
2,2021,2021011,0,BAH,30,0,0
2,2021,2021011,0,BAH,31,0,0
2,2021,2021011,0,BAH,32,0,0
2,2021,2021011,0,BAH,33,0,0
2,2021,2021011,0,BAH,34,0,0
2,2021,2021011,0,BAH,35,0,0
2,2021,2021011,0,BAH,36,0,0
2,2021,2021011,0,BAH,37,0,0
2,2021,2021011,0,BAH,38,0,0
2,2021,2021011,0,BAH,39,0,0
2,2021,2021011,0,BAH,40,0,0
2,2021,2021011,0,BAH,41,0,0
2,2021,2021011,0,BAH,42,0,0
2,2021,2021011,0,BAH,43,0,0
2,2021,2021011,0,BAH,44,0,0
2,2021,2021011,0,BAH,45,0,0
2,2021,2021011,0,BAH,46,0,0
2,2021,2021011,0,BAH,47,0,0
2,2021,2021011,0,BAH,48,0,0
2,2021,2021011,0,BAH,49,0,0
2,2021,2021011,0,BAH,50,0,0
2,2021,2021011,0,BAH,51,0,0
2,2021,2021011,0,BAH,52,0,0
2,2021,2021011,0,BAH,53,0,0
2,2021,2021011,0,BAH,54,0,0
2,2021,2021011,0,BAH,55,0,0
2,2021,2021011,0,BAH,56,0,0
2,2021,2021011,0,BAH,57,0,0
2,2021,2021021,1,EMI,58,1,0
2,2021,2021021,1,EMI,59,0,0
2,2021,2021021,1,EMI,60,0,0
2,2021,2021021,1,EMI,61,0,0
2,2021,2021021,1,EMI,62,0,0
2,2021,2021021,1,EMI,63,0,0
2,2021,2021021,1,EMI,64,0,0
2,2021,2021021,1,EMI,65,0,0
2,2021,2021021,1,EMI,66,0,0
2,2021,2021021,1,EMI,67,0,0
2,2021,2021021,1,EMI,68,0,0
2,2021,2021021,1,EMI,69,0,0
2,2021,2021021,1,EMI,70,0,0
2,2021,2021021,1,EMI,71,0,0
2,2021,2021021,1,EMI,72,0,0
2,2021,2021021,1,EMI,73,0,0
2,2021,2021021,1,EMI,74,0,0
2,2021,2021021,1,EMI,75,0,0
2,2021,2021021,1,EMI,76,0,0
2,2021,2021021,1,EMI,77,0,0
2,2021,2021021,1,EMI,78,0,0
2,2021,2021021,1,EMI,79,0,0
2,2021,2021021,1,EMI,80,0,0
2,2021,2021021,1,EMI,81,0,0
2,2021,2021021,1,EMI,82,0,0
2,2021,2021021,1,EMI,83,0,0
2,2021,2021021,1,EMI,84,0,0
2,2021,2021021,1,EMI,85,0,0
2,2021,2021021,1,EMI,86,0,0
2,2021,2021021,1,EMI,87,0,0
2,2021,2021021,1,EMI,88,0,0
2,2021,2021021,1,EMI,89,4,1
2,2021,2021021,1,EMI,90,0,0
2,2021,2021021,1,EMI,91,0,0
2,2021,2021021,1,EMI,92,0,0
2,2021,2021021,1,EMI,93,0,0
2,2021,2021021,1,EMI,94,0,0
2,2021,2021021,1,EMI,95,0,0
2,2021,2021021,1,EMI,96,0,0
2,2021,2021021,1,EMI,97,0,0
2,2021,2021021,1,EMI,98,0,0
2,2021,2021021,1,EMI,99,0,0
2,2021,2021021,1,EMI,100,0,0
2,2021,2021021,1,EMI,101,0,0
2,2021,2021021,1,EMI,102,0,0
2,2021,2021021,1,EMI,103,0,0
2,2021,2021021,1,EMI,104,0,0
2,2021,2021021,1,EMI,105,0,0
2,2021,2021021,1,EMI,106,0,0
2,2021,2021021,1,EMI,107,0,0
2,2021,2021021,1,EMI,108,0,0
2,2021,2021021,1,EMI,109,0,0
2,2021,2021021,1,EMI,110,0,0
2,2021,2021021,1,EMI,111,0,0
2,2021,2021021,1,EMI,112,0,0
2,2021,2021021,1,EMI,113,0,0
2,2021,2021021,1,EMI,114,0,0
2,2021,2021021,1,EMI,115,0,0
2,2021,2021021,1,EMI,116,0,0
2,2021,2021021,1,EMI,117,0,0
2,2021,2021021,1,EMI,118,0,0
2,2021,2021021,1,EMI,119,0,0
2,2021,2021021,1,EMI,120,0,0
2,2021,2021031,2,POR,121,1,0
2,2021,2021031,2,POR,122,0,0
2,2021,2021031,2,POR,123,0,0
2,2021,2021031,2,POR,124,0,0
2,2021,2021031,2,POR,125,0,0
2,2021,2021031,2,POR,126,0,0
2,2021,2021031,2,POR,127,0,0
2,2021,2021031,2,POR,128,0,0
2,2021,2021031,2,POR,129,0,0
2,2021,2021031,2,POR,130,0,0
2,2021,2021031,2,POR,131,0,0
2,2021,2021031,2,POR,132,0,0
2,2021,2021031,2,POR,133,0,0
2,2021,2021031,2,POR,134,0,0
2,2021,2021031,2,POR,135,0,0
2,2021,2021031,2,POR,136,0,0
2,2021,2021031,2,POR,137,0,0
2,2021,2021031,2,POR,138,0,0
2,2021,2021031,2,POR,139,0,0
2,2021,2021031,2,POR,140,0,0
2,2021,2021031,2,POR,141,0,0
2,2021,2021031,2,POR,142,0,0
2,2021,2021031,2,POR,143,0,0
2,2021,2021031,2,POR,144,0,0
2,2021,2021031,2,POR,145,0,0
2,2021,2021031,2,POR,146,0,0
2,2021,2021031,2,POR,147,0,0
2,2021,2021031,2,POR,148,0,0
2,2021,2021031,2,POR,149,0,0
2,2021,2021031,2,POR,150,0,0
2,2021,2021031,2,POR,151,0,0
2,2021,2021031,2,POR,152,0,0
2,2021,2021031,2,POR,153,4,1
2,2021,2021031,2,POR,154,0,0
2,2021,2021031,2,POR,155,0,0
2,2021,2021031,2,POR,156,0,0
2,2021,2021031,2,POR,157,0,0
2,2021,2021031,2,POR,158,0,0
2,2021,2021031,2,POR,159,0,0
2,2021,2021031,2,POR,160,0,0
2,2021,2021031,2,POR,161,0,0
2,2021,2021031,2,POR,162,0,0
2,2021,2021031,2,POR,163,0,0
2,2021,2021031,2,POR,164,0,0
2,2021,2021031,2,POR,165,0,0
2,2021,2021031,2,POR,166,0,0
2,2021,2021031,2,POR,167,0,0
2,2021,2021031,2,POR,168,0,0
2,2021,2021031,2,POR,169,0,0
2,2021,2021031,2,POR,170,0,0
2,2021,2021031,2,POR,171,0,0
2,2021,2021031,2,POR,172,0,0
2,2021,2021031,2,POR,173,0,0
2,2021,2021031,2,POR,174,0,0
2,2021,2021031,2,POR,175,0,0
2,2021,2021031,2,POR,176,0,0
2,2021,2021031,2,POR,177,0,0
2,2021,2021031,2,POR,178,0,0
2,2021,2021031,2,POR,179,0,0
2,2021,2021031,2,POR,180,0,0
2,2021,2021031,2,POR,181,0,0
2,2021,2021031,2,POR,182,0,0
2,2021,2021031,2,POR,183,0,0
2,2021,2021031,2,POR,184,0,0
2,2021,2021031,2,POR,185,0,0
2,2021,2021031,2,POR,186,0,0
2,2021,2021041,3,ESP,187,1,0
2,2021,2021041,3,ESP,188,0,0
2,2021,2021041,3,ESP,189,0,0
2,2021,2021041,3,ESP,190,0,0
2,2021,2021041,3,ESP,191,0,0
2,2021,2021041,3,ESP,192,0,0
2,2021,2021041,3,ESP,193,0,0
2,2021,2021041,3,ESP,194,0,0
2,2021,2021041,3,ESP,195,0,0
2,2021,2021041,3,ESP,196,0,0
2,2021,2021041,3,ESP,197,0,0
2,2021,2021041,3,ESP,198,0,0
2,2021,2021041,3,ESP,199,0,0
2,2021,2021041,3,ESP,200,0,0
2,2021,2021041,3,ESP,201,0,0
2,2021,2021041,3,ESP,202,0,0
2,2021,2021041,3,ESP,203,0,0
2,2021,2021041,3,ESP,204,0,0
2,2021,2021041,3,ESP,205,0,0
2,2021,2021041,3,ESP,206,0,0
2,2021,2021041,3,ESP,207,0,0
2,2021,2021041,3,ESP,208,0,0
2,2021,2021041,3,ESP,209,0,0
2,2021,2021041,3,ESP,210,0,0
2,2021,2021041,3,ESP,211,0,0
2,2021,2021041,3,ESP,212,0,0
2,2021,2021041,3,ESP,213,0,0
2,2021,2021041,3,ESP,214,0,0
2,2021,2021041,3,ESP,215,0,0
2,2021,2021041,3,ESP,216,0,0
2,2021,2021041,3,ESP,217,0,0
2,2021,2021041,3,ESP,218,0,0
2,2021,2021041,3,ESP,219,4,1
2,2021,2021041,3,ESP,220,0,0
2,2021,2021041,3,ESP,221,0,0
2,2021,2021041,3,ESP,222,0,0
2,2021,2021041,3,ESP,223,0,0
2,2021,2021041,3,ESP,224,0,0
2,2021,2021041,3,ESP,225,0,0
2,2021,2021041,3,ESP,226,0,0
2,2021,2021041,3,ESP,227,0,0
2,2021,2021041,3,ESP,228,0,0
2,2021,2021041,3,ESP,229,0,0
2,2021,2021041,3,ESP,230,0,0
2,2021,2021041,3,ESP,231,0,0
2,2021,2021041,3,ESP,232,0,0
2,2021,2021041,3,ESP,233,0,0
2,2021,2021041,3,ESP,234,0,0
2,2021,2021041,3,ESP,235,0,0
2,2021,2021041,3,ESP,236,0,0
2,2021,2021041,3,ESP,237,0,0
2,2021,2021041,3,ESP,238,0,0
2,2021,2021041,3,ESP,239,0,0
2,2021,2021041,3,ESP,240,0,0
2,2021,2021041,3,ESP,241,0,0
2,2021,2021041,3,ESP,242,0,0
2,2021,2021041,3,ESP,243,0,0
2,2021,2021041,3,ESP,244,0,0
2,2021,2021041,3,ESP,245,0,0
2,2021,2021041,3,ESP,246,0,0
2,2021,2021041,3,ESP,247,0,0
2,2021,2021041,3,ESP,248,0,0
2,2021,2021041,3,ESP,249,0,0
2,2021,2021041,3,ESP,250,0,0
2,2021,2021041,3,ESP,251,0,0
2,2021,2021041,3,ESP,252,0,0
2,2021,2021051,4,MON,253,1,0
2,2021,2021051,4,MON,254,0,0
2,2021,2021051,4,MON,255,0,0
2,2021,2021051,4,MON,256,0,0
2,2021,2021051,4,MON,257,0,0
2,2021,2021051,4,MON,258,0,0
2,2021,2021051,4,MON,259,0,0
2,2021,2021051,4,MON,260,0,0
2,2021,2021051,4,MON,261,0,0
2,2021,2021051,4,MON,262,0,0
2,2021,2021051,4,MON,263,0,0
2,2021,2021051,4,MON,264,0,0
2,2021,2021051,4,MON,265,0,0
2,2021,2021051,4,MON,266,0,0
2,2021,2021051,4,MON,267,0,0
2,2021,2021051,4,MON,268,0,0
2,2021,2021051,4,MON,269,0,0
2,2021,2021051,4,MON,270,0,0
2,2021,2021051,4,MON,271,0,0
2,2021,2021051,4,MON,272,0,0
2,2021,2021051,4,MON,273,0,0
2,2021,2021051,4,MON,274,0,0
2,2021,2021051,4,MON,275,0,0
2,2021,2021051,4,MON,276,0,0
2,2021,2021051,4,MON,277,0,0
2,2021,2021051,4,MON,278,0,0
2,2021,2021051,4,MON,279,0,0
2,2021,2021051,4,MON,280,0,0
2,2021,2021051,4,MON,281,0,0
2,2021,2021051,4,MON,282,0,0
2,2021,2021051,4,MON,283,0,0
2,2021,2021051,4,MON,284,0,0
2,2021,2021051,4,MON,285,0,0
