Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes,SeasonID,SprintIndex,EventIndex,EventNumber
33,VER,,1.0,2.0,,,M,12,1,1.0,2021100,0,0,0,0,,1,,,,90.354,,,,,-,,,#F0E628,1,1.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,-,2021,0,9,10
33,VER,,2.0,2.0,,,M,1,2,1.0,2021100,0,0,0,0,,1,,,,90.354,,,,,-,,,#F0E628,1,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.424,3.0,2.0,,,M,1,3,1.0,2021100,0,0,0,0,,0,,90.424,,90.354,92.663,92.663,-2.239,-2.239,-,,,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.357,4.0,2.0,,,M,1,4,1.0,2021100,0,0,0,0,0.0670000000000072,0,90.39,90.357,90.39,90.354,92.536,92.499,-2.142,-2.142,0.034,-0.034,0.034,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.478,5.0,2.0,,,M,1,5,1.0,2021100,0,0,0,0,0.1209999999999951,0,90.417,90.478,90.417,90.354,93.492,92.535,-2.057,-2.057,0.061,0.061,0.061,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.199,6.0,2.0,,,M,1,6,1.0,2021100,0,0,0,0,0.2789999999999963,0,90.338,90.199,90.338,90.354,92.571,92.541,-2.342,-2.342,0.139,-0.139,0.139,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.34,7.0,2.0,,,M,1,7,1.0,2021100,0,0,0,0,0.1410000000000053,0,90.27,90.34,90.27,90.354,92.542,92.524,-2.184,-2.184,0.071,0.071,0.071,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.19,8.0,2.0,,,M,1,8,1.0,2021100,0,0,0,0,0.1500000000000056,0,90.265,90.19,90.265,90.354,92.482,92.482,-2.292,-2.292,0.075,-0.075,0.075,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.369,9.0,2.0,,,M,1,9,1.0,2021100,0,0,0,0,0.179000000000002,0,90.28,90.369,90.28,90.354,92.665,92.466,-2.097,-2.097,0.09,0.09,0.09,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.393,10.0,2.0,,,M,1,10,1.0,2021100,0,0,0,0,0.0240000000000009,0,90.381,90.393,90.381,90.354,92.389,92.383,-1.99,-1.99,0.012,0.012,0.012,#F0E628,0,0.0,0,,0,90.354,0.091,0,1,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.193,11.0,2.0,,,M,1,11,1.0,2021100,0,0,0,0,0.2000000000000028,0,90.293,90.193,90.293,90.354,92.268,92.213,-2.02,-2.02,0.1,-0.1,0.1,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.201,12.0,2.0,,,M,1,12,1.0,2021100,0,0,0,0,0.0079999999999955,0,90.197,90.201,90.197,90.354,92.233,92.146,-1.945,-1.945,0.004,0.004,0.004,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.049,13.0,2.0,,,M,1,13,1.0,2021100,0,0,0,0,0.1519999999999868,0,90.125,90.049,90.125,90.354,92.147,92.107,-2.058,-2.058,0.076,-0.076,0.076,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.013,14.0,2.0,,,M,1,14,1.0,2021100,0,0,0,0,0.0360000000000013,0,90.031,90.013,90.031,90.354,92.061,92.033,-2.02,-2.02,0.018,-0.018,0.018,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.476,15.0,2.0,,,M,1,15,1.0,2021100,0,0,0,0,0.4629999999999938,0,90.244,90.476,90.244,90.354,92.067,92.016,-1.54,-1.54,0.231,0.231,0.231,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.833,16.0,2.0,,,M,1,16,1.0,2021100,0,0,0,0,0.3569999999999993,0,90.654,90.636,90.556,90.354,91.921,91.888,-1.055,-1.253,0.277,0.277,,#F0E628,1,0.0,1,0.2772,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
33,VER,90.795,17.0,2.0,,,M,1,17,1.0,2021100,0,0,0,0,0.0379999999999967,0,90.814,90.795,90.715,90.354,91.795,91.795,-1.0,-1.0,0.08,0.08,0.08,#F0E628,0,0.0,0,,0,90.354,0.091,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0,2021,0,9,10
44,HAM,,1.0,2.0,,,M,12,1,2.0,2021100,0,0,0,0,,1,,,,90.374,,,,,-,,,#F0E628,1,1.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,-,2021,0,9,10
44,HAM,,2.0,2.0,,,M,1,2,2.0,2021100,0,0,0,0,,1,,,,90.374,,,,,-,,,#F0E628,1,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.594,3.0,2.0,,,M,1,3,2.0,2021100,0,0,0,0,,0,,90.594,,90.374,92.663,92.663,-2.069,-2.069,-,,,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.691,4.0,2.0,,,M,1,4,2.0,2021100,0,0,0,0,0.0970000000000084,0,90.642,90.691,90.642,90.374,92.536,92.499,-1.808,-1.808,0.049,0.049,0.049,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.321,5.0,2.0,,,M,1,5,2.0,2021100,0,0,0,0,0.3700000000000045,0,90.506,90.321,90.506,90.374,93.492,92.535,-2.214,-2.214,0.185,-0.185,0.185,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.451,6.0,2.0,,,M,1,6,2.0,2021100,0,0,0,0,0.1299999999999954,0,90.386,90.451,90.386,90.374,92.571,92.541,-2.09,-2.09,0.065,0.065,0.065,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.608,7.0,2.0,,,M,1,7,2.0,2021100,0,0,0,0,0.1570000000000107,0,90.53,90.608,90.53,90.374,92.542,92.524,-1.916,-1.916,0.079,0.079,0.079,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.305,8.0,2.0,,,M,1,8,2.0,2021100,0,0,0,0,0.3029999999999972,0,90.456,90.305,90.456,90.374,92.482,92.482,-2.177,-2.177,0.151,-0.151,0.151,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.442,9.0,2.0,,,M,1,9,2.0,2021100,0,0,0,0,0.1369999999999862,0,90.374,90.442,90.374,90.374,92.665,92.466,-2.024,-2.024,0.068,0.068,0.068,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.065,10.0,2.0,,,M,1,10,2.0,2021100,0,0,0,0,0.3769999999999953,0,90.254,90.065,90.254,90.374,92.389,92.383,-2.318,-2.318,0.189,-0.189,0.189,#F0E628,0,0.0,0,,0,90.374,0.109,0,1,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.307,11.0,2.0,,,M,1,11,2.0,2021100,0,0,0,0,0.2420000000000044,0,90.186,90.307,90.186,90.374,92.268,92.213,-1.906,-1.906,0.121,0.121,0.121,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.377,12.0,2.0,,,M,1,12,2.0,2021100,0,0,0,0,0.0699999999999931,0,90.342,90.377,90.342,90.374,92.233,92.146,-1.769,-1.769,0.035,0.035,0.035,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.224,13.0,2.0,,,M,1,13,2.0,2021100,0,0,0,0,0.1529999999999916,0,90.3,90.224,90.3,90.374,92.147,92.107,-1.883,-1.883,0.076,-0.076,0.076,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.574,14.0,2.0,,,M,1,14,2.0,2021100,0,0,0,0,0.3499999999999943,0,90.399,90.574,90.399,90.374,92.061,92.033,-1.459,-1.459,0.175,0.175,0.175,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.583,15.0,2.0,,,M,1,15,2.0,2021100,0,0,0,0,0.0090000000000003,0,90.578,90.583,90.578,90.374,92.067,92.016,-1.433,-1.433,0.005,0.005,0.005,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,90.126,16.0,2.0,,,M,1,16,2.0,2021100,0,0,0,0,0.4569999999999936,0,90.354,90.126,90.354,90.374,91.921,91.888,-1.762,-1.762,0.228,-0.228,0.228,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
44,HAM,89.937,17.0,2.0,,,M,1,17,2.0,2021100,0,0,0,0,0.1890000000000071,0,90.032,89.937,90.032,90.374,91.795,91.795,-1.858,-1.858,0.094,-0.094,0.094,#F0E628,0,0.0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0,2021,0,9,10
77,BOT,,1.0,2.0,,,S,12,4,3.0,2021100,0,0,0,0,,1,,,,90.673,,,,,-,,,#CD3C3C,1,1.0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,-,2021,0,9,10
77,BOT,,2.0,2.0,,,S,1,5,3.0,2021100,0,0,0,0,,1,,,,90.673,,,,,-,,,#CD3C3C,1,0.0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0,2021,0,9,10
77,BOT,90.548,3.0,2.0,,,S,1,6,3.0,2021100,0,0,0,0,,0,,90.548,,90.673,92.663,92.663,-2.115,-2.115,-,,,#CD3C3C,0,0.0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0,2021,0,9,10
77,BOT,90.879,4.0,2.0,,,S,1,7,3.0,2021100,0,0,0,0,0.331000000000003,0,90.714,90.879,90.714,90.673,92.536,92.499,-1.62,-1.62,0.165,0.165,0.165,#CD3C3C,0,0.0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0,2021,0,9,10
77,BOT,90.943,5.0,2.0,,,S,1,8,3.0,2021100,0,0,0,0,0.0639999999999929,0,90.911,90.943,90.911,90.673,93.492,92.535,-1.592,-1.592,0.032,0.032,0.032,#CD3C3C,0,0.0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0,2021,0,9,10
77,BOT,90.922,6.0,2.0,,,S,1,9,3.0,2021100,0,0,0,0,0.0210000000000007,0,90.932,90.922,90.932,90.673,92.571,92.541,-1.619,-1.619,0.011,-0.011,0.011,#CD3C3C,0,0.0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0,2021,0,9,10
