Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
1,VER,-,1.0,1.0,,0 days 01:32:57.547000,W,1,1,1,2023120,0,0,0,0,-,1,,-,-,121.224,,,-,-,-,,-,#4682C8,1,1,0,,1,,-,1,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,
1,VER,-,2.0,2.0,0 days 01:33:21.922000,,I,1,1,2,2023120,0,0,0,0,-,1,,-,-,121.224,,,-,-,-,,-,#50A078,1,0,0,,1,121.224,0.273,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,-,3.0,2.0,,,I,124,2,2,2023120,1,0,0,0,-,1,,-,-,121.224,,,-,-,-,,-,#50A078,1,0,0,,0,121.224,0.273,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,-,4.0,2.0,,,I,4,3,2,2023120,0,0,0,0,-,1,,-,-,121.224,,,-,-,-,,-,#50A078,1,0,0,,0,121.224,0.273,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,-,5.0,2.0,,,I,412,4,2,2023120,0,1,0,0,-,1,,-,-,121.224,,,-,-,-,,-,#50A078,1,0,0,,0,121.224,0.273,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,-,6.0,2.0,,,I,21,5,1,2023120,0,0,0,0,-,1,,-,-,121.224,,,-,-,-,,-,#50A078,1,0,0,,0,121.224,0.273,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,120.363,7.0,2.0,,,I,12,6,1,2023120,0,0,0,0,-,0,,120.363,-,121.224,123.746,123.746,-3.383,-3.383,-,,-,#50A078,0,0,0,,0,121.224,0.273,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,121.417,8.0,2.0,,,I,1,7,1,2023120,0,0,0,0,1.054,0,120.89,121.417,120.89,121.224,123.648,123.397,-1.980,-1.980,0.527,0.527,0.527,#50A078,0,0,0,,0,121.224,0.273,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,121.588,9.0,2.0,,,I,1,8,1,2023120,0,0,0,0,0.171,0,121.502,121.588,121.502,121.224,123.827,123.778,-2.190,-2.190,0.085,0.085,0.085,#50A078,0,0,0,,0,121.224,0.273,0,1,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,121.128,10.0,2.0,,,I,1,9,1,2023120,0,0,0,0,0.460,0,121.358,121.128,121.358,121.224,123.817,123.723,-2.595,-2.595,0.230,-0.23,0.230,#50A078,0,0,0,,0,121.224,0.273,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,121.624,11.0,2.0,,,I,1,10,1,2023120,0,0,0,0,0.496,0,121.376,121.624,121.376,121.224,124.028,124.028,-2.404,-2.404,0.248,0.248,0.248,#50A078,0,0,0,,0,121.224,0.273,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
10,GAS,-,1.0,3.0,0 days 01:31:20.064000,,I,1,6,10,2023120,0,0,0,0,-,1,,-,-,122.618,,,-,-,-,,-,#50A078,1,1,0,,1,122.618,0.094,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2293D1,
10,GAS,-,2.0,3.0,,,I,1,7,3,2023120,0,0,0,0,-,1,,-,-,122.618,,,-,-,-,,-,#50A078,1,0,0,,0,122.618,0.094,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2293D1,0.0
