Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
10,GAS,-,1.0,1.0,,,S,1,4,3,2021201,0,0,0,0,-,1,,-,-,88.962,,,-,-,-,,-,#CD3C3C,1,1,0,,0,91.199,0.212,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2B4562,
10,GAS,-,2.0,1.0,,,S,1,5,3,2021201,0,0,0,0,-,1,,-,-,88.962,,,-,-,-,,-,#CD3C3C,1,0,0,,0,91.199,0.212,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2B4562,0.0
10,GAS,90.886,3.0,1.0,,,S,1,6,4,2021201,0,0,0,0,-,0,,90.886,-,88.962,91.43,91.43,-0.544,-0.544,-,,-,#CD3C3C,0,0,0,,0,91.199,0.212,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2B4562,-1.0
10,GAS,91.26,4.0,1.0,,,S,1,7,4,2021201,0,0,0,0,0.374,0,91.073,90.982,90.934,88.962,91.143,91.13,0.130,-0.147,0.326,0.326,-,#CD3C3C,1,0,1,0.3258,0,91.199,0.212,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2B4562,0.0
10,GAS,91.079,5.0,1.0,,,S,1,8,4,2021201,0,0,0,0,0.181,0,91.17,91.079,91.031,88.962,91.121,91.072,0.007,0.007,0.048,0.048,0.048,#CD3C3C,0,0,0,,0,91.199,0.212,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2B4562,0.0
10,GAS,90.984,6.0,1.0,,,S,1,9,4,2021201,0,0,0,0,0.095,0,91.032,90.984,91.032,88.962,91.227,91.066,-0.082,-0.082,0.047,-0.047,0.047,#CD3C3C,0,0,0,,0,91.199,0.212,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2B4562,0.0
10,GAS,91.223,7.0,1.0,,,S,1,10,4,2021201,0,0,0,0,0.239,0,91.104,91.223,91.104,88.962,91.327,91.179,0.044,0.044,0.120,0.12,0.120,#CD3C3C,0,0,0,,0,91.199,0.212,0,1,0,1,Pierre Gasly,Pierre,Gasly,#2B4562,0.0
10,GAS,91.377,8.0,1.0,,,S,1,11,4,2021201,0,0,0,0,0.154,0,91.3,91.377,91.3,88.962,91.526,91.367,0.010,0.010,0.077,0.077,0.077,#CD3C3C,0,0,0,,0,91.199,0.212,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2B4562,0.0
10,GAS,90.961,9.0,1.0,,,S,1,12,4,2021201,0,0,0,0,0.416,0,91.169,90.961,91.169,88.962,91.175,91.003,-0.042,-0.042,0.208,-0.208,0.208,#CD3C3C,0,0,0,,0,91.199,0.212,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2B4562,0.0
10,GAS,91.054,10.0,1.0,,,S,1,13,4,2021201,0,0,0,0,0.093,0,91.008,91.054,91.008,88.962,90.611,90.471,0.583,0.583,0.047,0.047,0.047,#CD3C3C,0,0,0,,0,91.199,0.212,0,0,0,1,Pierre Gasly,Pierre,Gasly,#2B4562,0.0
