Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
44,HAM,90.594,3.0,2.0,,,M,1,3,2,2021100,0,0,0,0,-,0,,90.594,-,90.374,92.663,92.663,-2.069,-2.069,-,,-,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.691,4.0,2.0,,,M,1,4,2,2021100,0,0,0,0,0.097,0,90.642,90.691,90.642,90.374,92.536,92.499,-1.808,-1.808,0.049,0.049,0.049,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.321,5.0,2.0,,,M,1,5,2,2021100,0,0,0,0,0.370,0,90.506,90.321,90.506,90.374,93.492,92.535,-2.214,-2.214,0.185,-0.185,0.185,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.451,6.0,2.0,,,M,1,6,2,2021100,0,0,0,0,0.130,0,90.386,90.451,90.386,90.374,92.571,92.541,-2.090,-2.090,0.065,0.065,0.065,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.608,7.0,2.0,,,M,1,7,2,2021100,0,0,0,0,0.157,0,90.53,90.608,90.53,90.374,92.542,92.524,-1.916,-1.916,0.079,0.079,0.079,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.305,8.0,2.0,,,M,1,8,2,2021100,0,0,0,0,0.303,0,90.456,90.305,90.456,90.374,92.482,92.482,-2.177,-2.177,0.151,-0.151,0.151,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.442,9.0,2.0,,,M,1,9,2,2021100,0,0,0,0,0.137,0,90.374,90.442,90.374,90.374,92.665,92.466,-2.024,-2.024,0.068,0.068,0.068,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.065,10.0,2.0,,,M,1,10,2,2021100,0,0,0,0,0.377,0,90.254,90.065,90.254,90.374,92.389,92.383,-2.318,-2.318,0.189,-0.189,0.189,#F0E628,0,0,0,,0,90.374,0.109,0,1,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.307,11.0,2.0,,,M,1,11,2,2021100,0,0,0,0,0.242,0,90.186,90.307,90.186,90.374,92.268,92.213,-1.906,-1.906,0.121,0.121,0.121,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.377,12.0,2.0,,,M,1,12,2,2021100,0,0,0,0,0.070,0,90.342,90.377,90.342,90.374,92.233,92.146,-1.769,-1.769,0.035,0.035,0.035,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
