Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
1,VER,-,1.0,1.0,,,M,1,1,1,2025031,0,0,0,0,-,1,,-,-,92.429,,,-,-,-,,-,#F0E628,1,1,0,,0,93.513,0.050,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,
1,VER,-,2.0,1.0,,,M,1,2,1,2025031,0,0,0,0,-,1,,-,-,92.429,,,-,-,-,,-,#F0E628,1,0,0,,0,93.513,0.050,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,93.639,3.0,1.0,,,M,1,3,1,2025031,0,0,0,0,-,0,,93.639,-,92.429,94.719,94.719,-1.080,-1.080,-,,-,#F0E628,0,0,0,,0,93.513,0.050,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,93.744,4.0,1.0,,,M,1,4,1,2025031,0,0,0,0,0.105,0,93.691,93.744,93.691,92.429,94.531,94.516,-0.772,-0.772,0.053,0.053,0.053,#F0E628,0,0,0,,0,93.513,0.050,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,93.776,5.0,1.0,,,M,1,5,1,2025031,0,0,0,0,0.032,0,93.76,93.776,93.76,92.429,94.524,94.462,-0.686,-0.686,0.016,0.016,0.016,#F0E628,0,0,0,,0,93.513,0.050,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,93.646,6.0,1.0,,,M,1,6,1,2025031,0,0,0,0,0.130,0,93.711,93.646,93.711,92.429,94.613,94.493,-0.847,-0.847,0.065,-0.065,0.065,#F0E628,0,0,0,,0,93.513,0.050,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,93.526,7.0,1.0,,,M,1,7,1,2025031,0,0,0,0,0.120,0,93.586,93.526,93.586,92.429,94.525,94.468,-0.942,-0.942,0.060,-0.06,0.060,#F0E628,0,0,0,,0,93.513,0.050,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,93.536,8.0,1.0,,,M,1,8,1,2025031,0,0,0,0,0.010,0,93.531,93.536,93.531,92.429,94.424,94.412,-0.876,-0.876,0.005,0.005,0.005,#F0E628,0,0,0,,0,93.513,0.050,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,93.529,9.0,1.0,,,M,1,9,1,2025031,0,0,0,0,0.007,0,93.532,93.529,93.532,92.429,94.345,94.322,-0.793,-0.793,0.004,-0.004,0.004,#F0E628,0,0,0,,0,93.513,0.050,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,93.555,10.0,1.0,,,M,1,10,1,2025031,0,0,0,0,0.026,0,93.542,93.555,93.542,92.429,94.212,94.178,-0.623,-0.623,0.013,0.013,0.013,#F0E628,0,0,0,,0,93.513,0.050,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
