Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
1,VER,-,1.0,1.0,,,S,1,1,4,2023121,0,0,0,0,-,1,,-,-,111.607,,,-,-,-,,-,#CD3C3C,1,1.0,0,,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,
1,VER,-,2.0,1.0,,,S,12,2,4,2023121,0,0,0,0,-,1,,-,-,111.607,,,-,-,-,,-,#CD3C3C,1,0.0,0,,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,112.277,3.0,1.0,,,S,21,3,4,2023121,0,0,0,0,-,0,,112.277,-,111.607,114.081,114.081,-1.804,-1.804,-,,-,#CD3C3C,0,0.0,0,,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,112.789,4.0,1.0,,,S,1,4,4,2023121,0,0,0,0,0.512,0,112.533,112.44,112.358,111.607,114.463,114.359,-1.570,-1.919,0.431,0.431,-,#CD3C3C,1,0.0,1,0.4308,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,112.602,5.0,1.0,,,S,1,5,4,2023121,0,0,0,0,0.187,0,112.696,112.602,112.521,111.607,114.755,114.645,-2.043,-2.043,0.081,0.081,0.081,#CD3C3C,0,0.0,0,,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,112.13,6.0,1.0,,,S,1,6,3,2023121,0,0,0,0,0.472,0,112.366,112.13,112.366,111.607,114.625,114.572,-2.442,-2.442,0.236,-0.236,0.236,#CD3C3C,0,0.0,0,,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,1.0
1,VER,112.415,7.0,1.0,,,S,1,7,3,2023121,0,0,0,0,0.285,0,112.273,112.415,112.273,111.607,113.559,113.559,-1.144,-1.144,0.142,0.142,0.142,#CD3C3C,0,0.0,0,,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,112.472,8.0,1.0,,,S,1,8,3,2023121,0,0,0,0,0.057,0,112.444,112.472,112.444,111.607,113.29,113.29,-0.818,-0.818,0.028,0.028,0.028,#CD3C3C,0,0.0,0,,0,112.483,0.176,0,1,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,111.88,9.0,1.0,,,S,1,9,2,2023121,0,0,0,0,0.592,0,112.176,111.88,112.176,111.607,113.294,113.265,-1.385,-1.385,0.296,-0.296,0.296,#CD3C3C,0,0.0,0,,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,1.0
1,VER,112.455,10.0,1.0,,,S,1,10,2,2023121,0,0,0,0,0.575,0,112.167,112.455,112.167,111.607,113.489,113.319,-0.864,-0.864,0.288,0.288,0.288,#CD3C3C,0,0.0,0,,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,112.613,11.0,1.0,,,S,1,11,2,2023121,0,0,0,0,0.158,0,112.534,112.613,112.534,111.607,113.563,113.461,-0.848,-0.848,0.079,0.079,0.079,#CD3C3C,0,0.0,0,,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,112.714,12.0,1.0,,,S,1,12,2,2023121,0,0,0,0,0.101,0,112.664,112.714,112.664,111.607,113.67,113.561,-0.847,-0.847,0.050,0.05,0.050,#CD3C3C,0,0.0,0,,0,112.483,0.176,0,0,0,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,112.962,13.0,1.0,,,S,1,13,1,2023121,0,0,0,0,0.248,0,112.838,112.962,112.838,111.607,113.843,113.776,-0.814,-0.814,0.124,0.124,0.124,#CD3C3C,0,0.0,0,,0,112.483,0.176,0,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
1,VER,-,14.0,1.0,,0 days 01:29:04.112000,S,1,14,1,2023121,0,0,0,0,-,1,,-,-,111.607,113.775,113.775,-,-,-,,-,#CD3C3C,1,0.0,0,,1,112.483,0.176,1,0,1,1,Max Verstappen,Max,Verstappen,#3671C6,0.0
