Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
44,HAM,-,1.0,1.0,,,M,1,1,6,2021191,0,0,0,0,-,1,,-,-,73.513,,,-,-,-,,-,#F0E628,1,1,0,,0,74.244,0.047,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,
44,HAM,-,2.0,1.0,,,M,1,2,6,2021191,0,0,0,0,-,1,,-,-,73.513,,,-,-,-,,-,#F0E628,1,0,0,,0,74.244,0.047,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,74.254,3.0,1.0,,,M,1,3,4,2021191,0,0,0,0,-,0,,74.254,-,73.513,76.277,76.277,-2.023,-2.023,-,,-,#F0E628,0,0,0,,0,74.244,0.047,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,2.0
44,HAM,74.307,4.0,1.0,,,M,1,4,4,2021191,0,0,0,0,0.053,0,74.28,74.307,74.28,73.513,76.229,76.163,-1.856,-1.856,0.026,0.026,0.026,#F0E628,0,0,0,,0,74.244,0.047,0,1,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,74.172,5.0,1.0,,,M,1,5,3,2021191,0,0,0,0,0.135,0,74.239,74.172,74.239,73.513,76.306,76.306,-2.134,-2.134,0.067,-0.067,0.067,#F0E628,0,0,0,,0,74.244,0.047,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,1.0
44,HAM,-,6.0,1.0,,,M,14,6,3,2021191,1,0,0,0,-,1,,-,-,73.513,,,-,-,-,,-,#F0E628,1,0,0,,0,74.244,0.047,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,-,7.0,1.0,,0 days 01:11:37.672000,M,4,7,3,2021191,0,0,0,0,-,1,,-,-,73.513,,,-,-,-,,-,#F0E628,1,0,0,,1,74.244,0.047,1,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,-,8.0,2.0,0 days 01:11:57.067000,0 days 01:13:49.545000,M,4,8,3,2021191,0,0,0,0,-,1,,-,-,73.513,,,-,-,-,,-,#F0E628,1,0,0,,1,,-,1,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,-,9.0,3.0,0 days 01:14:08.533000,,M,41,9,3,2021191,0,1,0,0,-,1,,-,-,73.513,,,-,-,-,,-,#F0E628,1,0,0,,1,74.717,0.189,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0
44,HAM,-,10.0,3.0,,,M,1,10,3,2021191,0,0,0,0,-,1,,-,-,73.513,,,-,-,-,,-,#F0E628,1,0,0,,0,74.717,0.189,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0
