Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
1,VER,-,1.0,1.0,,,M,12,1,1,2022191,0,0,0,0,-,1,,-,-,101.165,,,-,-,-,,-,#F0E628,1,1.0,0,,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,
1,VER,-,2.0,1.0,,,M,1,2,1,2022191,0,0,0,0,-,1,,-,-,101.165,,,-,-,-,,-,#F0E628,1,0.0,0,,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,101.893,3.0,1.0,,,M,1,3,1,2022191,0,0,0,0,-,0,,101.893,-,101.165,103.901,103.901,-2.008,-2.008,-,,-,#F0E628,0,0.0,0,,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,102.581,4.0,1.0,,,M,1,4,1,2022191,0,0,0,0,0.688,0,102.237,102.581,102.237,101.165,104.016,103.991,-1.410,-1.410,0.344,0.344,0.344,#F0E628,0,0.0,0,,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,102.87,5.0,1.0,,,M,1,5,1,2022191,0,0,0,0,0.289,0,102.726,102.703,102.642,101.165,104.739,104.327,-1.457,-1.623,0.228,0.228,-,#F0E628,1,0.0,1,0.2278,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,102.826,6.0,1.0,,,M,1,6,1,2022191,0,0,0,0,0.044,0,102.848,102.826,102.765,101.165,104.1,104.1,-1.274,-1.274,0.061,0.061,0.061,#F0E628,0,0.0,0,,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,102.314,7.0,1.0,,,M,1,7,1,2022191,0,0,0,0,0.512,0,102.57,102.314,102.57,101.165,103.87,103.839,-1.525,-1.525,0.256,-0.256,0.256,#F0E628,0,0.0,0,,0,102.581,0.189,0,1,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,102.83,8.0,1.0,,,M,1,8,1,2022191,0,0,0,0,0.516,0,102.572,102.363,102.338,101.165,104.501,104.256,-1.426,-1.893,0.492,0.492,-,#F0E628,1,0.0,1,0.4915,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,102.412,9.0,1.0,,,M,1,9,1,2022191,0,0,0,0,0.418,0,102.621,102.412,102.388,101.165,104.277,104.277,-1.865,-1.865,0.025,0.025,0.025,#F0E628,0,0.0,0,,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,102.492,10.0,1.0,,,M,1,10,1,2022191,0,0,0,0,0.080,0,102.452,102.492,102.452,101.165,103.958,103.878,-1.386,-1.386,0.040,0.04,0.040,#F0E628,0,0.0,0,,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,102.583,11.0,1.0,,,M,1,11,1,2022191,0,0,0,0,0.091,0,102.538,102.583,102.538,101.165,103.814,103.814,-1.231,-1.231,0.046,0.046,0.046,#F0E628,0,0.0,0,,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,103.011,12.0,1.0,,,M,1,12,1,2022191,0,0,0,0,0.428,0,102.797,103.011,102.797,101.165,104.017,103.969,-0.958,-0.958,0.214,0.214,0.214,#F0E628,0,0.0,0,,0,102.581,0.189,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,-,13.0,1.0,,0 days 01:24:50.943000,M,1,13,1,2022191,0,0,0,0,-,1,,-,-,101.165,104.578,104.332,-,-,-,,-,#F0E628,1,0.0,0,,1,102.581,0.189,1,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,-,14.0,2.0,0 days 01:25:14.799000,,H,1,1,2,2022191,0,0,0,0,-,1,,-,-,101.165,104.047,104.047,-,-,-,,-,#A5AFB9,1,0.0,0,,1,101.618,0.162,0,0,0,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,102.424,15.0,2.0,,,H,1,2,1,2022191,0,0,0,0,-,0,,102.424,-,101.165,103.795,103.722,-1.298,-1.298,-,,-,#A5AFB9,0,0.0,0,,0,101.618,0.162,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,101.905,16.0,2.0,,,H,1,3,1,2022191,0,0,0,0,0.519,0,102.164,101.905,102.164,101.165,103.79,103.669,-1.764,-1.764,0.260,-0.26,0.260,#A5AFB9,0,0.0,0,,0,101.618,0.162,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
1,VER,102.483,17.0,2.0,,,H,1,4,1,2022191,0,0,0,0,0.578,0,102.194,102.483,102.194,101.165,103.852,103.852,-1.369,-1.369,0.289,0.289,0.289,#A5AFB9,0,0.0,0,,0,101.618,0.162,0,0,1,1,Max Verstappen,Max,Verstappen,#1E5BC6,0.0
