SeasonID,RaceID,SprintIndex,DriverID,Team,Number,Color,FullName,Abbreviation,Laptime,LaptimeClear,PaceDiff,PaceDiffClear,PaceMarker,ClassifiedPositionLabel,PaceAvg,PaceClearAvg,PaceAvgLabel,PaceClearAvgLabel,PacePelotoneAvg,PaceClearPelotoneAvg,PacePelotoneAvgLabel,PaceClearPelotoneAvgLabel,PaceDiffRankOrder,PaceDiffClearRankOrder,PaceDiffByWorst,PaceDiffClearByWorst,PaceDiffByBest,PaceDiffClearByBest,PaceDiffBetterLapsCount,PaceDiffBetterLapsCountSum,PaceDiffBetterLapsCountPerc
2022,2022011,2,17,Alpha Tauri,10,#4E7C9B,Pierre Gasly,GAS,99.51081578947368,99.45834210526316,0.0536315789473684,0.106,99.62179069767444,DNF,99.51081578947368,99.45834210526316,01:39.510,01:39.458,99.3784489795918,99.30395918367348,01:39.378,01:39.303,8,8,1.6464455324357403,1.5730587515299876,1.5485684210526316,1.5114280701754386,27.0,34.0,79.4
2022,2022011,2,9,Alpha Tauri,22,#4E7C9B,Yuki Tsunoda,TSU,99.41034883720933,99.34067441860466,-0.0950232558139534,-0.025,99.37844897959184,8,99.41034883720933,99.34067441860466,01:39.410,01:39.340,99.3784489795918,99.30395918367348,01:39.378,01:39.303,11,11,1.4977906976744186,1.441604651162791,1.6972232558139535,1.6428821705426355,7.0,34.0,20.6
2022,2022021,2,17,Alpha Tauri,10,#4E7C9B,Pierre Gasly,GAS,95.56842105263158,95.4693947368421,-0.5871315789473684,-0.488,95.1315641025641,8,95.56842105263158,95.4693947368421,01:35.568,01:35.469,95.13156410256413,95.01720512820516,01:35.131,01:35.017,13,13,1.5884112781954889,1.0399517543859649,2.084710526315789,2.0861315789473687,-,-,-
2022,2022031,2,17,Alpha Tauri,10,#4E7C9B,Pierre Gasly,GAS,84.63314285714286,84.52592857142857,-0.5297380952380952,-0.423,84.24586363636364,9,84.63314285714286,84.52592857142857,01:24.633,01:24.525,84.24586363636364,84.14968181818182,01:24.245,01:24.149,12,12,0.5728619047619046,0.4466962833914054,2.2014125138427465,2.151361572535991,28.0,39.0,71.8
2022,2022031,2,9,Alpha Tauri,22,#4E7C9B,Yuki Tsunoda,TSU,84.95856097560976,84.81080487804878,-0.8312195121951219,-0.684,84.27441860465116,15,84.95856097560976,84.81080487804878,01:24.958,01:24.810,84.24586363636364,84.14968181818182,01:24.245,01:24.149,16,17,0.2713804878048779,0.1857317073170732,2.502893930799773,2.412326148610324,11.0,39.0,28.2
2022,2022040,2,9,Alpha Tauri,22,#4E7C9B,Yuki Tsunoda,TSU,81.3525625,81.30256250000001,-0.40125,-0.351,81.03325,12,81.3525625,81.30256250000001,01:21.352,01:21.302,81.03325,80.951375,01:21.033,01:20.951,12,12,0.6848124999999999,0.6583749999999999,1.84875,1.8584375,9.0,16.0,56.2
2022,2022040,2,17,Alpha Tauri,10,#4E7C9B,Pierre Gasly,GAS,81.4903125,81.4903125,-0.539,-0.539,81.03325,17,81.4903125,81.4903125,01:21.490,01:21.490,81.03325,80.951375,01:21.033,01:20.951,14,15,0.5470624999999999,0.4706249999999999,1.9865,2.0461875000000003,7.0,16.0,43.8
2022,2022041,2,9,Alpha Tauri,22,#4E7C9B,Yuki Tsunoda,TSU,84.45360714285714,84.3935357142857,-0.0121964285714285,0.048,84.73905172413792,7,84.45360714285714,84.3935357142857,01:24.453,01:24.393,84.73905172413794,84.64400000000002,01:24.739,01:24.644,7,7,0.9133884770889488,0.8415542452830188,1.3785482804232805,1.3971805555555554,50.0,54.0,92.6
2022,2022041,2,17,Alpha Tauri,10,#4E7C9B,Pierre Gasly,GAS,85.11738181818183,85.05641818181819,-0.6887272727272727,-0.628,84.80391228070177,12,85.11738181818183,85.05641818181819,01:25.117,01:25.056,84.73905172413794,84.64400000000002,01:24.739,01:24.644,16,17,0.2368576329331045,0.1658974271012007,2.0550791245791244,2.0728373737373738,4.0,54.0,7.4
2022,2022051,2,17,Alpha Tauri,10,#4E7C9B,Pierre Gasly,GAS,95.40322857142856,95.3228,-0.4427428571428571,-0.362,95.01268421052632,DNF,95.40322857142856,95.3228,01:35.403,01:35.322,94.7208125,94.61697916666668,01:34.720,01:34.616,12,13,1.1295298701298704,1.0444642857142856,1.91048198757764,1.9008509316770188,27.0,33.0,81.8
