SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,14_Laptime,35_Laptime,14_PaceDiff,35_PaceDiff,14_PaceDiffClear,35_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffClearTeammateMean,PaceDiffTeammateBetterMode
2,2025,2025031,15.0,147,Mercedes,93.707,93.774,-0.362,-0.295,-0.362,-0.295,94.069,0.067,14,0.067,14,-0.3285,-0.3285,14
2,2025,2025031,16.0,148,Mercedes,93.86,93.861,-0.321,-0.32,-0.321,-0.32,94.286,0.0010000000000000009,14,0.0010000000000000009,14,-0.3205,-0.3205,14
2,2025,2025031,17.0,149,Mercedes,93.834,93.912,-0.325,-0.247,-0.325,-0.247,94.167,0.07800000000000001,14,0.07800000000000001,14,-0.28600000000000003,-0.28600000000000003,14
2,2025,2025031,18.0,150,Mercedes,93.966,93.861,-0.187,-0.292,-0.187,-0.292,94.153,-0.10499999999999998,35,-0.10499999999999998,35,-0.2395,-0.2395,14
2,2025,2025031,19.0,151,Mercedes,,93.754,,-0.239,,-0.239,94.011,,,,,-0.239,-0.239,14
2,2025,2025031,20.0,152,Mercedes,,93.556,,-0.431,,-0.431,94.003,,,,,-0.431,-0.431,14
2,2025,2025031,21.0,153,Mercedes,93.237,93.147,-0.826,-0.916,-0.826,-0.916,94.12,-0.09000000000000008,35,-0.09000000000000008,35,-0.871,-0.871,14
2,2025,2025031,22.0,154,Mercedes,94.123,93.185,-0.143,-1.081,-1.009,-1.081,94.419,-0.938,35,-0.07200000000000006,35,-0.612,-1.045,14
2,2025,2025031,23.0,155,Mercedes,93.278,93.152,-0.45,-0.576,-0.45,-0.576,93.728,-0.12599999999999995,35,-0.12599999999999995,35,-0.513,-0.513,14
2,2025,2025031,24.0,156,Mercedes,94.34,93.055,0.962,-0.323,-0.282,-0.323,93.478,-1.285,35,-0.041000000000000036,35,0.3195,-0.3025,14
2,2025,2025031,25.0,157,Mercedes,92.913,93.097,-0.371,-0.187,-0.371,-0.187,93.557,0.184,14,0.184,14,-0.279,-0.279,14
2,2025,2025031,26.0,158,Mercedes,92.411,93.126,-0.882,-0.167,-0.882,-0.167,93.522,0.715,14,0.715,14,-0.5245,-0.5245,14
2,2025,2025031,27.0,159,Mercedes,92.611,93.347,-0.605,0.131,-0.766,-0.055,93.281,0.736,14,0.711,14,-0.237,-0.41050000000000003,14
2,2025,2025031,28.0,160,Mercedes,92.488,93.196,-0.679,0.029,-0.679,0.029,93.167,0.7080000000000001,14,0.7080000000000001,14,-0.325,-0.325,14
2,2025,2025031,29.0,161,Mercedes,92.407,92.961,-0.652,-0.098,-0.652,-0.098,93.144,0.554,14,0.554,14,-0.375,-0.375,14
2,2025,2025031,30.0,162,Mercedes,92.359,93.059,-0.615,0.085,-0.615,0.085,93.142,0.7,14,0.7,14,-0.265,-0.265,14
2,2025,2025031,31.0,163,Mercedes,92.143,,-0.73,,-0.73,,92.968,,,,,-0.73,-0.73,14
2,2025,2025031,32.0,164,Mercedes,92.031,,-0.662,,-0.662,,92.764,,,,,-0.662,-0.662,14
2,2025,2025031,33.0,165,Mercedes,92.08,91.4,-0.184,-0.864,-0.184,-0.864,92.433,-0.6799999999999999,35,-0.6799999999999999,35,-0.524,-0.524,14
2,2025,2025031,34.0,166,Mercedes,92.219,91.486,-0.144,-0.877,-0.144,-0.877,92.404,-0.733,35,-0.733,35,-0.5105,-0.5105,14
2,2025,2025031,35.0,167,Mercedes,91.936,91.54,-0.378,-0.774,-0.378,-0.774,92.36,-0.396,35,-0.396,35,-0.5760000000000001,-0.5760000000000001,14
2,2025,2025031,36.0,168,Mercedes,91.823,91.571,-0.39,-0.642,-0.39,-0.642,92.258,-0.252,35,-0.252,35,-0.516,-0.516,14
2,2025,2025031,37.0,169,Mercedes,91.868,91.697,-0.383,-0.554,-0.383,-0.554,92.298,-0.17100000000000004,35,-0.17100000000000004,35,-0.4685,-0.4685,14
2,2025,2025031,38.0,170,Mercedes,91.84,91.784,-0.393,-0.449,-0.393,-0.449,92.233,-0.055999999999999994,35,-0.055999999999999994,35,-0.42100000000000004,-0.42100000000000004,14
2,2025,2025031,39.0,171,Mercedes,92.073,91.844,-0.169,-0.398,-0.365,-0.398,92.307,-0.229,35,-0.03300000000000003,35,-0.28350000000000003,-0.3815,14
2,2025,2025031,40.0,172,Mercedes,91.915,91.609,-0.263,-0.569,-0.263,-0.569,92.192,-0.30599999999999994,35,-0.30599999999999994,35,-0.416,-0.416,14
2,2025,2025031,41.0,173,Mercedes,91.895,91.357,-0.25,-0.788,-0.25,-0.788,92.187,-0.538,35,-0.538,35,-0.519,-0.519,14
2,2025,2025031,42.0,174,Mercedes,92.135,91.486,0.032,-0.617,-0.194,-0.617,92.114,-0.649,35,-0.423,35,-0.2925,-0.40549999999999997,14
2,2025,2025031,43.0,175,Mercedes,91.923,91.495,-0.171,-0.599,-0.171,-0.599,92.133,-0.42799999999999994,35,-0.42799999999999994,35,-0.385,-0.385,14
2,2025,2025031,44.0,176,Mercedes,91.778,91.34,-0.332,-0.77,-0.332,-0.77,92.167,-0.438,35,-0.438,35,-0.551,-0.551,14
