SprintIndex,SeasonID,RaceID,EventIndex,TeamID,DriverID,DriverIDT,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SCLeave,SCEnter,VSCLeave,VSCEnter,Overtakes,Position
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,1,1.0,0,0,0.249,0,0,0,0,,15
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,S,#CD3C3C,2,1.0,0,0,0.249,0,0,0,0,0.0,15
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,3.0,3,100.243,100.243,0,0,-,-,-0.406,-0.671,-0.742,9,-0.406,-0.671,-0.742,9,-1.077,S,#CD3C3C,3,1.0,0,0,0.249,0,0,0,0,0.0,15
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,4.0,4,99.95,99.95,0,0,100.096,0.293,-0.129,-0.423,-0.341,9,-0.129,-0.423,-0.341,9,-0.552,S,#CD3C3C,4,1.0,0,0,0.249,0,0,0,0,1.0,14
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,5.0,5,101.131,100.418,1,0,100.184,1.181,-1.145,0.501,-0.895,26,-0.432,-0.212,-0.538,9,-0.644,S,#CD3C3C,5,1.0,0,0,0.249,0,0,0,0,0.0,14
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,6.0,6,100.886,100.886,0,0,100.652,0.245,-0.7,-0.239,-0.819,9,-0.700,-0.239,-0.819,9,-0.939,S,#CD3C3C,6,1.0,0,1,0.249,0,0,0,0,0.0,14
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,7.0,7,100.952,100.952,0,0,100.919,0.066,-0.678,-0.214,-0.785,9,-0.678,-0.214,-0.785,9,-0.892,S,#CD3C3C,7,1.0,0,0,0.249,0,0,0,0,0.0,14
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,8.0,8,100.846,100.846,0,0,100.899,0.106,-0.471,-0.384,-0.663,9,-0.471,-0.384,-0.663,9,-0.855,S,#CD3C3C,8,1.0,0,0,0.249,0,0,0,0,0.0,14
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,9.0,9,101.01,101.01,0,0,100.928,0.164,-0.533,-0.563,-0.815,9,-0.533,-0.563,-0.815,9,-1.096,S,#CD3C3C,9,1.0,0,0,0.249,0,0,0,0,0.0,14
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,10.0,10,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-1.043,S,#CD3C3C,10,1.0,1,0,0.249,0,0,0,0,0.0,14
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,11.0,11,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,H,#A5AFB9,1,2.0,0,0,0.131,0,0,0,0,0.0,18
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,12.0,12,99.143,99.143,0,0,-,-,0.921,-,-,-,0.921,-,-,-,,H,#A5AFB9,2,2.0,0,0,0.131,0,0,0,0,0.0,16
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,13.0,13,99.471,98.942,1,0,99.043,0.328,-0.03,0.547,0.243,26,0.498,0.019,0.508,26,0.517,H,#A5AFB9,3,2.0,0,0,0.131,0,0,0,0,0.0,13
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,14.0,14,98.742,98.742,0,0,98.842,0.729,0.277,-0.087,0.234,9,0.277,-0.087,0.234,9,0.19,H,#A5AFB9,4,2.0,0,0,0.131,0,0,0,0,0.0,13
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,15.0,15,98.975,98.975,0,0,98.858,0.233,-0.324,0.107,-0.271,26,-0.324,0.107,-0.271,26,-0.217,H,#A5AFB9,5,2.0,0,0,0.131,0,0,0,0,0.0,12
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,16.0,16,99.061,99.061,0,0,99.018,0.086,-0.483,-0.065,-0.516,9,-0.483,0.130,-0.418,26,-0.548,H,#A5AFB9,6,2.0,0,0,0.131,0,0,0,0,0.0,11
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,17.0,17,99.021,99.021,0,0,99.041,0.040,-0.377,0.025,-0.364,26,-0.377,0.025,-0.364,26,-0.352,H,#A5AFB9,7,2.0,0,0,0.131,0,0,0,0,0.0,11
1,2023,2023011,0,2,9,9-2,TSU,Yuki Tsunoda,22,#5E8FAA,18.0,18,99.302,99.096,1,0,99.058,0.281,-0.568,0.248,-0.444,26,-0.361,0.041,-0.341,26,-0.32,H,#A5AFB9,8,2.0,0,1,0.131,0,0,0,0,0.0,11
