SprintIndex,SeasonID,RaceID,EventIndex,TeamID,DriverID,DriverIDT,Abbreviation,FullName,Number,Color,LapNumber,LapNumberFlow,Laptime,LaptimeClear,LaptimeMistake,LaptimeNaN,LaptimeClearPace,LaptimeDiff,PaceDiff,PaceDiffDelta,PaceDiffMean,PaceDiffValueBetterID,PaceDiffClear,PaceDiffClearDelta,PaceDiffClearMean,PaceDiffClearValueBetterID,PaceDiffTeammate,Compound,CompoundColor,TyreLife,Stint,StintVerticalLine,StintLabel,StintMeanConsistency,SCLeave,SCEnter,VSCLeave,VSCEnter,Overtakes,Position
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,1.0,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,4,1.0,0,0,0.149,0,0,0,0,,4
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,2.0,2,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,5,1.0,0,0,0.149,0,0,0,1,0.0,4
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,3.0,3,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,6,1.0,0,0,0.149,0,0,0,0,0.0,4
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,4.0,4,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,7,1.0,0,0,0.149,0,0,0,0,0.0,4
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,5.0,5,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,8,1.0,0,0,0.149,1,0,0,0,0.0,3
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,6.0,6,-,-,0,1,-,-,-,-,-,-,-,-,-,-,,M,#F0E628,9,1.0,0,0,0.149,0,0,0,0,0.0,3
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,7.0,7,104.928,104.928,0,0,-,-,1.259,0.440,1.479,5,1.259,0.440,1.479,5,1.699,M,#F0E628,10,1.0,0,0,0.149,0,0,0,0,0.0,3
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,8.0,8,104.597,104.597,0,0,104.762,0.331,0.961,-0.075,0.923,2,0.961,-0.075,0.923,2,0.886,M,#F0E628,11,1.0,0,0,0.149,0,0,0,0,0.0,3
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,9.0,9,104.184,104.184,0,0,104.39,0.413,1.248,0.252,1.374,5,1.248,0.252,1.374,5,1.5,M,#F0E628,12,1.0,0,0,0.149,0,0,0,0,0.0,3
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,10.0,10,103.723,103.723,0,0,103.953,0.461,1.704,-0.046,1.681,2,1.704,-0.046,1.681,2,1.658,M,#F0E628,13,1.0,0,0,0.149,0,0,0,0,0.0,3
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,11.0,11,103.835,103.835,0,0,103.779,0.112,1.905,0.219,2.014,5,1.905,0.219,2.014,5,2.124,M,#F0E628,14,1.0,0,0,0.149,0,0,0,0,0.0,3
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,12.0,12,103.952,103.952,0,0,103.893,0.117,1.389,0.013,1.395,5,1.389,0.262,1.520,5,1.402,M,#F0E628,15,1.0,0,1,0.149,0,0,0,0,0.0,3
0,2023,2023040,3,14,2,2-14,VER,Max Verstappen,1,#1A4C82,13.0,13,104.421,104.421,0,0,104.186,0.469,1.119,0.658,1.448,5,1.119,0.658,1.448,5,1.777,M,#F0E628,16,1.0,0,0,0.149,0,0,0,0,0.0,3
