SeasonID,RaceID,SprintIndex,Team,PaceDiffAvg,PaceDiffClearAvg,PaceDiffMeanAvg,PaceDiffClearMeanAvg,PaceDiffDeltaAvg,PaceDiffClearDeltaAvg,PaceDiffLapsCountBetterID,PaceDiffClearLapsCountBetterID,PaceDiffValueBetterID,PaceDiffValueBetter
2024,2024011,1,Kick Sauber,-0.7469100000000001,-0.62572,-0.7997065217391304,-0.6780760869565218,-0.29886,-0.28148,23.0,23.0,23.0,-0.59748
2024,2024021,1,Kick Sauber,-0.7591341463414635,-0.6954634146341463,-0.7736282051282052,-0.7066923076923077,-0.291390243902439,-0.2240975609756096,23.0,23.0,23.0,-0.6134390243902439
2024,2024031,1,Kick Sauber,-0.5196105263157895,-0.3518105263157894,-0.5242272727272727,-0.3430795454545454,0.1502774822695034,0.2403253546099291,3.0,3.0,3.0,-0.4436808510638296
2024,2024041,1,Kick Sauber,-0.9324565217391304,-0.7613260869565217,,,-0.5336821705426358,-0.7167519379844963,,,3.0,-0.8976511627906978
2024,2024051,1,Kick Sauber,-0.3031132075471698,-0.2751698113207547,-0.5301071428571429,-0.5301071428571429,0.0990912280701754,0.0601175438596491,3.0,3.0,3.0,-0.2320666666666666
2024,2024061,1,Kick Sauber,-0.6006630434782609,-0.5586304347826087,-0.604,-0.5642777777777778,0.0688950354609929,0.0664387706855792,3.0,3.0,3.0,-0.5654666666666667
2024,2024071,1,Kick Sauber,-1.0145603448275862,-0.8200258620689655,-1.0130357142857145,-0.813232142857143,-0.2409137931034485,-0.2636724137931033,3.0,23.0,23.0,-0.8941034482758619
2024,2024081,1,Kick Sauber,-1.1889859154929578,-0.9910352112676056,-1.1986014492753625,-0.999855072463768,-0.4950704225352111,-0.3359859154929576,3.0,3.0,3.0,-0.941450704225352
2024,2024091,1,Kick Sauber,-1.349029126213592,-1.2877961165048544,-1.3205729166666669,-1.254875,1.0484294871794873,1.0872635746606336,3.0,3.0,3.0,-0.829903846153846
2024,2024101,1,Kick Sauber,-0.7393983050847457,-0.5538813559322034,-0.7633,-0.5959545454545454,-0.70964406779661,-0.5370508474576271,23.0,23.0,23.0,-0.3845762711864407
2024,2024111,1,Kick Sauber,-0.757776,-0.6301760000000001,-0.7305431034482758,-0.6229051724137932,-0.3092322068612392,-0.2262572964669739,3.0,3.0,3.0,-0.6043968253968256
2024,2024121,1,Kick Sauber,-1.9137176470588235,-1.6833529411764707,-1.8781625,-1.7223624999999998,-1.3641694444444443,-1.2967638888888888,23.0,23.0,3.0,-1.2717555555555558
2024,2024131,1,Kick Sauber,-0.973095238095238,-0.882079365079365,-0.9923050847457628,-0.9092542372881356,-0.1945079365079366,-0.0837460317460317,3.0,3.0,3.0,-0.8758412698412698
2024,2024141,1,Kick Sauber,,,,,,,,,,
2024,2024151,1,Kick Sauber,-1.0352421875,-0.8270234375,-1.006,-0.8106833333333333,-0.387203125,-0.2422968749999999,3.0,3.0,3.0,-0.841640625
2024,2024161,1,Kick Sauber,-1.3734062500000002,-1.2134791666666669,-1.3828152173913044,-1.2159347826086957,-0.2094375000000001,-0.1459166666666669,3.0,3.0,3.0,-1.2686875000000002
2024,2024171,1,Kick Sauber,-1.096067415730337,-0.9565168539325842,-1.106642857142857,-0.9587857142857142,-0.1871262626262626,-0.1366580808080807,3.0,3.0,23.0,-1.0035555555555555
2024,2024181,1,Kick Sauber,-0.930842105263158,-0.783140350877193,-0.9141964285714286,-0.7638571428571429,-0.0285614035087719,0.0220350877192982,23.0,23.0,23.0,-0.9165614035087718
2024,2024191,1,Kick Sauber,-1.277608695652174,-1.0454565217391305,-1.2938488372093024,-1.05296511627907,-0.2441323877068557,-0.2821134751773048,23.0,3.0,23.0,-1.1528888888888889
2024,2024201,1,Kick Sauber,-0.9302131147540984,-0.8011147540983606,-0.9072203389830508,-0.789406779661017,-0.282032786885246,-0.1602295081967213,3.0,3.0,3.0,-0.7891967213114754
2024,2024211,1,Kick Sauber,-1.238318181818182,-1.1445545454545454,-1.238318181818182,-1.1445545454545454,0.6046727272727274,0.5489636363636364,3.0,3.0,3.0,-0.935981818181818
2024,2024221,1,Kick Sauber,-0.6541149425287357,-0.5957816091954022,-0.6083625,-0.544925,-0.5547426004228331,-0.484173890063425,23.0,23.0,23.0,-0.3799318181818181
2024,2024231,1,Kick Sauber,-0.7574457831325302,-0.6748072289156627,-0.7760875,-0.6933374999999999,-0.9882872093023256,-0.8874587209302327,23.0,23.0,23.0,-0.2811627906976744
2024,2024241,1,Kick Sauber,-0.2064305555555555,-0.1453611111111111,-0.228175,-0.1879249999999999,0.021630909090909,-0.0028836363636363,equal,equal,3.0,-0.1914090909090909
