SprintIndex,SeasonID,DriverID,FullName,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateDiscreteAvg,ConsistencyTeammateDiscreteAvg,PaceTeammateDiscreteAvg,StartTeammateDiscreteAvg,OvertakesTeammateDiscreteAvg,MistakesTeammateDiscreteAvg,QualiTeammateNormalizedAvg,ConsistencyTeammateNormalizedAvg,PaceTeammateNormalizedAvg,StartTeammateNormalizedAvg,OvertakesTeammateNormalizedAvg,MistakesTeammateNormalizedAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,ConsistencyAvg,OvertakesSum,OvertakesAvg,OvertakesGainAvg,OvertakesLostAvg,PaceAvg,StartSum,StartAvg,StartGainAvg,StartLostAvg
0,2021,2,Max Verstappen,8.78,5.53,DNC,10.0,10.0,6.666666666666666,6.666666666666666,10.0,,7.828636392162963,6.8792313490160915,5.700033400643259,6.055482424065136,8.01729753869952,9.96,5.83,7.75,0.110,1.0,0.3333333333333333,0.33,0.00,82.277,0.0,0.0,0.67,0.67
0,2021,3,Valtteri Bottas,9.65,5.33,DNC,10.0,6.666666666666666,6.666666666666666,3.333333333333333,10.0,,6.500978263783988,5.350496650215516,5.8995878076870225,4.285714285714286,9.037828947368421,9.67,6.31,8.38,0.085,0.0,0.0,0.00,0.00,82.38600000000001,1.0,0.3333333333333333,0.33,0.00
0,2021,13,Esteban Ocon,8.20,5.30,DNC,10.0,3.333333333333333,3.333333333333333,3.333333333333333,10.0,,5.553918424464715,4.9271023644290795,5.654071579997506,5.2,6.839956742432362,4.56,7.14,7.54,0.136,0.0,0.0,0.33,0.33,84.28733333333334,4.0,1.3333333333333333,1.33,0.00
0,2021,1,Lewis Hamilton,6.35,7.33,DNC,0.0,3.333333333333333,3.333333333333333,6.666666666666666,0.0,,3.499021736216012,4.649503349784483,4.100412192312978,5.714285714285715,2.8865131578947367,8.46,5.60,6.39,0.173,10.0,3.3333333333333335,3.33,0.00,82.815,0.0,0.0,1.33,1.33
0,2021,15,Sebastian Vettel,8.10,5.30,DNC,10.0,6.666666666666666,6.666666666666666,6.666666666666666,10.0,,5.388962404910906,5.292198721574564,4.7320834773045615,5.355164688498021,5.438511492272174,4.76,6.34,7.34,0.147,0.0,0.0,0.33,0.33,84.20833333333333,2.0,0.6666666666666666,1.33,0.67
0,2021,4,Lando Norris,8.14,5.70,DNC,3.333333333333333,6.666666666666666,6.666666666666666,6.666666666666666,6.666666666666666,,4.88249744724047,5.295684357983652,5.477283977670301,5.192528735632184,5.211937028492714,7.25,6.31,7.43,0.141,2.0,0.6666666666666666,0.67,0.00,83.259,1.0,0.3333333333333333,1.00,0.67
0,2021,6,Charles Leclerc,6.29,4.93,DNC,3.333333333333333,6.666666666666666,6.666666666666666,0.0,6.666666666666666,,3.6630080194854124,5.520968062532685,6.396526261109594,4.485174323884002,5.5342938313294585,7.35,6.91,6.17,0.176,-2.0,-0.6666666666666666,0.00,0.67,83.194,2.0,0.6666666666666666,0.67,0.00
0,2021,14,George Russell,9.35,6.45,DNC,6.666666666666666,6.666666666666666,0.0,6.666666666666666,6.666666666666666,,5.251614029646827,5.156228413109147,3.383152173913044,5.411223996129656,5.197468417989858,4.08,3.26,7.85,0.103,3.0,1.0,1.00,0.00,84.431,-6.0,-2.0,0.00,2.00
0,2021,7,Daniel Ricciardo,8.45,5.47,DNC,6.666666666666666,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,,5.11750255275953,4.704315642016349,4.5227160223297,4.807471264367816,4.788062971507287,6.54,6.03,7.55,0.145,1.0,0.3333333333333333,0.67,0.33,83.46600000000001,-1.0,-0.3333333333333333,0.67,1.00
0,2021,12,Antonio Giovinazzi,8.71,5.13,DNC,10.0,6.666666666666666,6.666666666666666,6.666666666666666,10.0,,5.151746481695528,6.033192515578198,5.474806080044287,5.62607204116638,5.289524319032516,4.63,7.14,7.85,0.120,-1.0,-0.3333333333333333,0.67,1.00,84.21733333333333,2.0,0.6666666666666666,1.33,0.67
0,2021,17,Pierre Gasly,9.05,4.95,DNC,10.0,10.0,5.0,0.0,6.666666666666666,,5.318614242146618,5.443461579147499,4.142707658577907,4.704704704704704,5.0771711258875785,4.58,3.70,7.48,0.133,-1.0,-0.5,0.33,0.67,83.414,-3.0,-1.5,0.50,2.00
