SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,13_Laptime,17_Laptime,32_Laptime,13_PaceDiff,17_PaceDiff,32_PaceDiff,13_PaceDiffClear,17_PaceDiffClear,32_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2024,2024011,47.0,47,Alpine,96.656,95.341,,1.005,-0.31,,1.005,-0.31,,95.708,-,17.0,-,17,-,,-,
1,2024,2024011,48.0,48,Alpine,97.117,95.411,,1.362,-0.344,,1.362,-0.344,,95.854,-,17.0,-,17,-,,-,
1,2024,2024011,49.0,49,Alpine,97.726,95.511,,1.773,-0.442,,1.773,-0.442,,95.989,-,17.0,-,17,-,,-,
1,2024,2024011,50.0,50,Alpine,97.784,95.228,,1.821,-0.735,,1.821,-0.735,,96.034,-,17.0,-,17,-,,-,
1,2024,2024011,51.0,51,Alpine,97.091,95.334,,1.04,-0.717,,1.04,-0.717,,96.063,-,17.0,-,17,-,,-,
1,2024,2024011,52.0,52,Alpine,98.631,95.511,,2.578,-0.542,,1.065,-0.542,,96.304,-,17.0,-,17,-,,-,
1,2024,2024011,53.0,53,Alpine,97.145,95.389,,1.062,-0.694,,1.062,-0.694,,96.286,-,17.0,-,17,-,,-,
1,2024,2024011,54.0,54,Alpine,98.707,95.853,,2.578,-0.276,,1.14,-0.276,,96.492,-,17.0,-,17,-,,-,
1,2024,2024011,55.0,55,Alpine,97.393,95.908,,1.094,-0.391,,1.094,-0.391,,96.312,-,17.0,-,17,-,,-,
1,2024,2024011,56.0,56,Alpine,97.415,96.086,,1.035,-0.294,,1.035,-0.294,,96.38,-,17.0,-,17,-,,-,
1,2024,2024021,1.0,57,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,2.0,58,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,3.0,59,Alpine,96.92,,,1.292,,,1.292,,,95.628,-,-,-,,-,,-,
1,2024,2024021,4.0,60,Alpine,96.261,,,0.842,,,0.842,,,95.467,-,-,-,,-,,-,
1,2024,2024021,5.0,61,Alpine,96.003,,,0.717,,,0.717,,,95.304,-,-,-,,-,,-,
1,2024,2024021,6.0,62,Alpine,96.798,,,1.312,,,1.312,,,95.486,-,-,-,,-,,-,
1,2024,2024021,7.0,63,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,8.0,64,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,9.0,65,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,10.0,66,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024021,11.0,67,Alpine,95.969,,,0.754,,,0.754,,,95.215,-,-,-,,-,,-,
1,2024,2024021,12.0,68,Alpine,95.4,,,0.668,,,0.668,,,94.74,-,-,-,,-,,-,
1,2024,2024021,13.0,69,Alpine,95.107,,,0.292,,,0.292,,,95.026,-,-,-,,-,,-,
1,2024,2024021,14.0,70,Alpine,95.432,,,0.594,,,0.594,,,94.98,-,-,-,,-,,-,
1,2024,2024021,15.0,71,Alpine,95.717,,,0.767,,,0.767,,,95.038,-,-,-,,-,,-,
1,2024,2024021,16.0,72,Alpine,96.245,,,1.118,,,1.118,,,95.127,-,-,-,,-,,-,
1,2024,2024021,17.0,73,Alpine,97.264,,,2.165,,,0.742,,,95.522,-,-,-,,-,,-,
1,2024,2024021,18.0,74,Alpine,95.436,,,0.531,,,0.531,,,95.003,-,-,-,,-,,-,
1,2024,2024021,19.0,75,Alpine,95.152,,,0.399,,,0.399,,,94.82,-,-,-,,-,,-,
1,2024,2024021,20.0,76,Alpine,95.02,,,0.313,,,0.313,,,94.707,-,-,-,,-,,-,
1,2024,2024021,21.0,77,Alpine,94.925,,,0.38,,,0.38,,,94.68,-,-,-,,-,,-,
1,2024,2024021,22.0,78,Alpine,95.218,,,0.495,,,0.495,,,94.852,-,-,-,,-,,-,
1,2024,2024021,23.0,79,Alpine,96.216,,,1.584,,,1.038,,,94.69,-,-,-,,-,,-,
1,2024,2024021,24.0,80,Alpine,96.124,,,1.537,,,1.537,,,94.663,-,-,-,,-,,-,
1,2024,2024021,25.0,81,Alpine,96.373,,,1.782,,,1.782,,,94.667,-,-,-,,-,,-,
1,2024,2024021,26.0,82,Alpine,96.331,,,1.757,,,1.757,,,94.623,-,-,-,,-,,-,
1,2024,2024021,27.0,83,Alpine,96.399,,,1.874,,,1.874,,,94.658,-,-,-,,-,,-,
1,2024,2024021,28.0,84,Alpine,95.884,,,1.439,,,1.439,,,94.482,-,-,-,,-,,-,
1,2024,2024021,29.0,85,Alpine,95.305,,,0.944,,,0.944,,,94.43,-,-,-,,-,,-,
1,2024,2024021,30.0,86,Alpine,96.117,,,1.747,,,1.239,,,94.418,-,-,-,,-,,-,
1,2024,2024021,31.0,87,Alpine,95.912,,,1.573,,,1.573,,,94.351,-,-,-,,-,,-,
1,2024,2024021,32.0,88,Alpine,95.709,,,1.477,,,1.477,,,94.232,-,-,-,,-,,-,
1,2024,2024021,33.0,89,Alpine,95.753,,,1.493,,,1.493,,,94.302,-,-,-,,-,,-,
1,2024,2024021,34.0,90,Alpine,94.087,,,0.176,,,0.176,,,93.919,-,-,-,,-,,-,
1,2024,2024021,35.0,91,Alpine,94.061,,,0.405,,,0.405,,,93.755,-,-,-,,-,,-,
1,2024,2024021,36.0,92,Alpine,93.799,,,0.288,,,0.288,,,93.511,-,-,-,,-,,-,
1,2024,2024021,37.0,93,Alpine,93.81,,,0.443,,,0.443,,,93.377,-,-,-,,-,,-,
1,2024,2024021,38.0,94,Alpine,93.845,,,0.714,,,0.714,,,93.154,-,-,-,,-,,-,
1,2024,2024021,39.0,95,Alpine,94.047,,,1.003,,,1.003,,,93.044,-,-,-,,-,,-,
1,2024,2024021,40.0,96,Alpine,93.716,,,0.831,,,0.831,,,92.919,-,-,-,,-,,-,
1,2024,2024021,41.0,97,Alpine,93.711,,,0.748,,,0.748,,,92.978,-,-,-,,-,,-,
1,2024,2024021,42.0,98,Alpine,93.633,,,0.792,,,0.792,,,92.94,-,-,-,,-,,-,
1,2024,2024021,43.0,99,Alpine,94.59,,,1.682,,,0.844,,,92.954,-,-,-,,-,,-,
1,2024,2024021,44.0,100,Alpine,93.871,,,1.062,,,1.062,,,93.004,-,-,-,,-,,-,
1,2024,2024021,45.0,101,Alpine,93.643,,,0.844,,,0.844,,,92.819,-,-,-,,-,,-,
1,2024,2024021,46.0,102,Alpine,93.757,,,0.948,,,0.948,,,92.967,-,-,-,,-,,-,
1,2024,2024021,47.0,103,Alpine,95.294,,,2.55,,,0.875,,,92.924,-,-,-,,-,,-,
1,2024,2024021,48.0,104,Alpine,93.481,,,0.653,,,0.653,,,93.473,-,-,-,,-,,-,
1,2024,2024021,49.0,105,Alpine,93.813,,,0.973,,,0.973,,,92.86,-,-,-,,-,,-,
1,2024,2024031,1.0,106,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024031,2.0,107,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024031,3.0,108,Alpine,83.577,83.851,,0.31,0.584,,0.31,0.584,,83.267,-,13.0,-,13,-,,-,
1,2024,2024031,4.0,109,Alpine,83.574,83.7,,0.271,0.397,,0.271,0.397,,83.383,-,13.0,-,13,-,,-,
1,2024,2024031,5.0,110,Alpine,83.784,84.526,,0.418,1.16,,0.418,0.44,,83.467,-,13.0,-,13,-,,-,
1,2024,2024031,6.0,111,Alpine,83.841,83.912,,0.64,0.711,,0.64,0.711,,83.201,-,13.0,-,13,-,,-,
1,2024,2024031,7.0,112,Alpine,83.198,83.445,,0.115,0.362,,0.115,0.362,,83.091,-,13.0,-,13,-,,-,
1,2024,2024031,8.0,113,Alpine,82.98,83.879,,-0.278,0.621,,-0.278,0.379,,83.276,-,13.0,-,13,-,,-,
1,2024,2024031,9.0,114,Alpine,,83.829,,,0.646,,,0.646,,83.248,-,-,-,,-,,-,
1,2024,2024031,10.0,115,Alpine,,83.856,,,0.782,,,0.782,,83.202,-,-,-,,-,,-,
1,2024,2024031,11.0,116,Alpine,83.339,85.397,,0.307,2.365,,0.307,1.209,,83.18,-,13.0,-,13,-,,-,
1,2024,2024031,12.0,117,Alpine,82.882,84.625,,-0.191,1.552,,-0.191,1.552,,83.096,-,13.0,-,13,-,,-,
1,2024,2024031,13.0,118,Alpine,82.956,84.049,,-0.104,0.989,,-0.104,0.989,,83.146,-,13.0,-,13,-,,-,
