SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,7_Laptime,9_Laptime,26_Laptime,29_Laptime,7_PaceDiff,9_PaceDiff,26_PaceDiff,29_PaceDiff,7_PaceDiffClear,9_PaceDiffClear,26_PaceDiffClear,29_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2023,2023011,42.0,42,Alpha Tauri,,96.637,99.873,,,-0.518,2.718,,,-0.518,2.718,,97.155,-,9.0,-,9,-,,-,
2,2023,2023011,43.0,43,Alpha Tauri,,97.028,100.177,,,-0.152,2.997,,,-0.356,2.997,,97.246,-,9.0,-,9,-,,-,
2,2023,2023011,44.0,44,Alpha Tauri,,97.01,99.588,,,-0.236,2.342,,,-0.236,2.342,,97.26,-,9.0,-,9,-,,-,
2,2023,2023011,45.0,45,Alpha Tauri,,97.021,98.889,,,-0.306,1.562,,,-0.306,1.562,,97.541,-,9.0,-,9,-,,-,
2,2023,2023011,46.0,46,Alpha Tauri,,97.258,98.871,,,-0.21,1.403,,,-0.21,1.403,,97.728,-,9.0,-,9,-,,-,
2,2023,2023011,47.0,47,Alpha Tauri,,97.359,98.921,,,-0.094,1.468,,,-0.094,1.468,,97.587,-,9.0,-,9,-,,-,
2,2023,2023011,48.0,48,Alpha Tauri,,97.238,100.441,,,-0.216,2.987,,,-0.216,1.499,,97.554,-,9.0,-,9,-,,-,
2,2023,2023011,49.0,49,Alpha Tauri,,97.528,98.985,,,-0.099,1.358,,,-0.099,1.358,,97.662,-,9.0,-,9,-,,-,
2,2023,2023011,50.0,50,Alpha Tauri,,97.624,99.089,,,0.221,1.686,,,0.221,1.686,,97.537,-,9.0,-,9,-,,-,
2,2023,2023011,51.0,51,Alpha Tauri,,97.706,100.475,,,0.108,2.877,,,0.108,2.112,,97.685,-,9.0,-,9,-,,-,
2,2023,2023011,52.0,52,Alpha Tauri,,97.59,100.33,,,-0.06,2.68,,,-0.06,2.68,,97.663,-,9.0,-,9,-,,-,
2,2023,2023011,53.0,53,Alpha Tauri,,97.675,99.15,,,-0.008,1.467,,,-0.008,1.467,,97.729,-,9.0,-,9,-,,-,
2,2023,2023011,54.0,54,Alpha Tauri,,97.72,98.885,,,-0.068,1.097,,,-0.068,1.097,,97.884,-,9.0,-,9,-,,-,
2,2023,2023011,55.0,55,Alpha Tauri,,97.945,99.239,,,0.072,1.366,,,0.072,1.366,,97.873,-,9.0,-,9,-,,-,
2,2023,2023011,56.0,56,Alpha Tauri,,98.102,99.161,,,0.305,1.364,,,0.305,1.364,,97.891,-,9.0,-,9,-,,-,
2,2023,2023011,57.0,57,Alpha Tauri,,98.246,,,,0.489,,,,0.489,,,97.757,-,-,-,,-,,-,
2,2023,2023021,1.0,58,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023021,2.0,59,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023021,3.0,60,Alpha Tauri,,97.15,96.945,,,0.977,0.772,,,0.977,0.772,,96.173,-,26.0,-,26,-,,-,
2,2023,2023021,4.0,61,Alpha Tauri,,97.006,96.847,,,0.809,0.65,,,0.809,0.65,,96.378,-,26.0,-,26,-,,-,
2,2023,2023021,5.0,62,Alpha Tauri,,96.705,96.992,,,0.621,0.908,,,0.621,0.908,,96.084,-,9.0,-,9,-,,-,
2,2023,2023021,6.0,63,Alpha Tauri,,96.788,96.862,,,0.792,0.866,,,0.792,0.866,,96.012,-,9.0,-,9,-,,-,
2,2023,2023021,7.0,64,Alpha Tauri,,96.655,97.087,,,0.649,1.081,,,0.649,1.081,,96.104,-,9.0,-,9,-,,-,
2,2023,2023021,8.0,65,Alpha Tauri,,96.569,97.22,,,0.495,1.146,,,0.495,1.146,,96.181,-,9.0,-,9,-,,-,
2,2023,2023021,9.0,66,Alpha Tauri,,96.285,97.249,,,0.409,1.373,,,0.409,1.373,,96.051,-,9.0,-,9,-,,-,
2,2023,2023021,10.0,67,Alpha Tauri,,96.187,96.592,,,0.358,0.763,,,0.358,0.763,,95.841,-,9.0,-,9,-,,-,
2,2023,2023021,11.0,68,Alpha Tauri,,96.2,96.52,,,0.455,0.775,,,0.455,0.775,,95.745,-,9.0,-,9,-,,-,
2,2023,2023021,12.0,69,Alpha Tauri,,95.839,96.282,,,0.028,0.471,,,0.028,0.471,,95.85,-,9.0,-,9,-,,-,
2,2023,2023021,13.0,70,Alpha Tauri,,96.087,96.014,,,0.435,0.362,,,0.236,0.362,,95.759,-,26.0,-,9,-,,-,
2,2023,2023021,14.0,71,Alpha Tauri,,95.938,96.449,,,0.372,0.883,,,0.372,0.45,,95.684,-,9.0,-,9,-,,-,
2,2023,2023021,15.0,72,Alpha Tauri,,95.616,96.017,,,-0.019,0.382,,,-0.019,0.382,,95.645,-,9.0,-,9,-,,-,
2,2023,2023021,16.0,73,Alpha Tauri,,95.638,96.126,,,-0.066,0.422,,,-0.066,0.422,,95.704,-,9.0,-,9,-,,-,
2,2023,2023021,17.0,74,Alpha Tauri,,,,,,,,,,,,,94.457,-,-,-,,-,,-,
2,2023,2023021,18.0,75,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023021,19.0,76,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023021,20.0,77,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023021,21.0,78,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023021,22.0,79,Alpha Tauri,,96.197,97.424,,,-0.204,1.023,,,-0.204,1.023,,96.401,-,9.0,-,9,-,,-,
2,2023,2023021,23.0,80,Alpha Tauri,,95.717,97.103,,,0.14,1.526,,,0.14,1.526,,95.577,-,9.0,-,9,-,,-,
2,2023,2023021,24.0,81,Alpha Tauri,,96.425,95.386,,,1.171,0.132,,,1.171,0.132,,95.286,-,26.0,-,26,-,,-,
2,2023,2023021,25.0,82,Alpha Tauri,,96.833,95.686,,,1.714,0.567,,,0.85,0.567,,95.262,-,26.0,-,26,-,,-,
2,2023,2023021,26.0,83,Alpha Tauri,,95.513,96.074,,,0.432,0.993,,,0.432,0.645,,95.223,-,9.0,-,9,-,,-,
2,2023,2023021,27.0,84,Alpha Tauri,,95.392,95.766,,,0.441,0.815,,,0.441,0.815,,94.993,-,9.0,-,9,-,,-,
2,2023,2023021,28.0,85,Alpha Tauri,,95.155,95.508,,,0.302,0.655,,,0.302,0.655,,94.853,-,9.0,-,9,-,,-,
2,2023,2023021,29.0,86,Alpha Tauri,,94.791,95.759,,,0.187,1.155,,,0.187,1.155,,94.623,-,9.0,-,9,-,,-,
2,2023,2023021,30.0,87,Alpha Tauri,,95.113,95.778,,,0.475,1.14,,,0.475,1.14,,94.909,-,9.0,-,9,-,,-,
2,2023,2023021,31.0,88,Alpha Tauri,,94.929,95.64,,,0.394,1.105,,,0.394,1.105,,94.549,-,9.0,-,9,-,,-,
2,2023,2023021,32.0,89,Alpha Tauri,,95.246,95.141,,,0.742,0.637,,,0.742,0.637,,94.547,-,26.0,-,26,-,,-,
2,2023,2023021,33.0,90,Alpha Tauri,,94.797,95.188,,,0.39,0.781,,,0.39,0.781,,94.423,-,9.0,-,9,-,,-,
2,2023,2023021,34.0,91,Alpha Tauri,,94.925,95.25,,,0.506,0.831,,,0.506,0.831,,94.454,-,9.0,-,9,-,,-,
2,2023,2023021,35.0,92,Alpha Tauri,,94.878,95.027,,,0.578,0.727,,,0.578,0.727,,94.426,-,9.0,-,9,-,,-,
2,2023,2023021,36.0,93,Alpha Tauri,,94.61,94.763,,,0.437,0.59,,,0.437,0.59,,94.173,-,9.0,-,9,-,,-,
2,2023,2023021,37.0,94,Alpha Tauri,,94.715,95.127,,,0.537,0.949,,,0.537,0.949,,94.2,-,9.0,-,9,-,,-,
2,2023,2023021,38.0,95,Alpha Tauri,,94.488,95.591,,,0.352,1.455,,,0.352,1.455,,94.204,-,9.0,-,9,-,,-,
