FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Valtteri Bottas,77,1:31:04.103,1,1,26
Max Verstappen,33,+14.584,2,2,18
Sergio Perez,11,+33.471,6,3,15
Charles Leclerc,16,+37.814,3,4,12
Lewis Hamilton,44,+41.812,11,5,10
Pierre Gasly,10,+44.292,4,6,8
Lando Norris,4,+47.213,7,7,6
Carlos Sainz,55,+51.526,19,8,4
Lance Stroll,18,+1:22.018,8,9,2
Esteban Ocon,31,+1 Lap,12,10,1
Antonio Giovinazzi,99,+1 Lap,16,11,0
Kimi Räikkönen,7,+1 Lap,17,12,0
Daniel Ricciardo,3,+1 Lap,20,13,0
Yuki Tsunoda,22,+1 Lap,9,14,0
George Russell,63,+1 Lap,13,15,0
Fernando Alonso,14,+1 Lap,5,16,0
Nicholas Latifi,6,+1 Lap,15,17,0
Sebastian Vettel,5,+1 Lap,10,18,0
Mick Schumacher,47,+1 Lap,14,19,0
Nikita Mazepin,9,+1 Lap,18,20,0
