FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,2:32:38.371,1,1,25
Lewis Hamilton,44,+0.179,3,2,18
Fernando Alonso,14,+0.769,4,3,15
Lance Stroll,18,+3.082,6,4,12
Sergio Perez,11,+3.320,PLS,5,11
Lando Norris,4,+3.701,13,6,8
Nico Hulkenberg,27,+4.939,10,7,6
Oscar Piastri,81,+5.382,16,8,4
Guanyu Zhou,24,+5.713,17,9,2
Yuki Tsunoda,22,+6.052,12,10,1
Valtteri Bottas,77,+6.513,PLS,11,0
Carlos Sainz,55,+6.594,5,12,0
Pierre Gasly,10,+1 Lap,9,13,0
Esteban Ocon,31,+1 Lap,11,14,0
Nyck De Vries,21,+1 Lap,15,15,0
Logan Sargeant,2,+1 Lap,18,16,0
Kevin Magnussen,20,+1 Lap,14,17,0
George Russell,63,DNF,2,DNF,0
Alexander Albon,23,DNF,8,DNF,0
Charles Leclerc,16,DNF,7,DNF,0
