FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,36:37.647,3,1,8
Oscar Piastri,81,+0.672,2,2,7
Lewis Hamilton,44,+1.073,7,3,6
George Russell,63,+3.127,5,4,5
Lance Stroll,18,+3.412,16,5,4
Yuki Tsunoda,22,+5.153,20,6,3
Kimi Antonelli,12,+5.635,1,7,2
Pierre Gasly,10,+5.973,13,8,1
Nico Hulkenberg,27,+6.153,11,9,0
Isack Hadjar,6,+7.502,9,10,0
Alexander Albon,23,+7.522,8,11,0
Esteban Ocon,31,+8.998,12,12,0
Liam Lawson,30,+9.024,14,13,0
Oliver Bearman,87,+9.218,19,14,0
Gabriel Bortoleto,5,+9.675,18,15,0
Jack Doohan,7,+9.909,17,16,0
Max Verstappen,1,+12.059,4,17,0
Fernando Alonso,14,DNF,10,DNF,0
Carlos Sainz,55,DNF,15,DNF,0
Charles Leclerc,16,DNS,DNS,DNS,0
