FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,1:32:01.596,1,1,25
Kimi Antonelli,12,+10.388,2,2,18
Max Verstappen,1,+10.750,19,3,15
George Russell,63,+15.267,6,4,12
Oscar Piastri,81,+15.749,4,5,10
Oliver Bearman,87,+29.630,8,6,8
Liam Lawson,30,+52.642,7,7,6
Isack Hadjar,6,+52.873,5,8,4
Nico Hulkenberg,27,+53.324,10,9,2
Pierre Gasly,10,+53.914,9,10,1
Alexander Albon,23,+54.184,12,11,0
Esteban Ocon,31,+54.696,20,12,0
Carlos Sainz,55,+55.420,15,13,0
Fernando Alonso,14,+55.766,11,14,0
Franco Colapinto,43,+57.777,16,15,0
Lance Stroll,18,+58.247,14,16,0
Yuki Tsunoda,22,+1:09.176,17,17,0
Lewis Hamilton,44,DNF,13,DNF,0
Charles Leclerc,16,DNF,3,DNF,0
Gabriel Bortoleto,5,DNF,18,DNF,0
