FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,26:41.389,1,1,8
Oscar Piastri,81,+4.616,3,2,7
Lando Norris,4,+5.348,2,3,6
George Russell,63,+8.354,4,4,5
Carlos Sainz,55,+9.989,5,5,4
Lewis Hamilton,44,+11.207,6,6,3
Charles Leclerc,16,+13.424,10,7,2
Sergio Perez,11,+17.409,7,8,1
Kevin Magnussen,20,+24.067,11,9,0
Lance Stroll,18,+30.175,12,10,0
Esteban Ocon,31,+30.839,8,11,0
Pierre Gasly,10,+31.308,9,12,0
Yuki Tsunoda,22,+35.452,14,13,0
Daniel Ricciardo,3,+39.397,16,14,0
Fernando Alonso,14,+43.155,13,15,0
Logan Sargeant,2,+44.076,15,16,0
Alexander Albon,23,+44.673,PLS,17,0
Valtteri Bottas,77,+46.511,18,18,0
Nico Hulkenberg,27,+48.423,17,19,0
Guanyu Zhou,24,+53.143,19,20,0
