FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Esteban Ocon,31,2:04:43.199,8,1,25
Lewis Hamilton,44,+2.736,1,2,18
Carlos Sainz,55,+15.018,15,3,15
Fernando Alonso,14,+15.651,9,4,12
Pierre Gasly,10,+1:03.614,5,5,11
Yuki Tsunoda,22,+1:15.803,16,6,8
Nicholas Latifi,6,+1:17.910,18,7,6
George Russell,63,+1:19.094,17,8,4
Max Verstappen,33,+1:20.244,3,9,2
Kimi Räikkönen,7,+1 Lap,13,10,1
Daniel Ricciardo,3,+1 Lap,11,11,0
Mick Schumacher,47,+1 Lap,20,12,0
Antonio Giovinazzi,99,+1 Lap,PLS,13,0
Nikita Mazepin,9,DNF,19,DNF,0
Lando Norris,4,DNF,6,DNF,0
Valtteri Bottas,77,DNF,2,DNF,0
Sergio Perez,11,DNF,4,DNF,0
Charles Leclerc,16,DNF,7,DNF,0
Lance Stroll,18,DNF,12,DNF,0
Sebastian Vettel,5,DSQ,10,DSQ,0
