FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:22:06.983,1,1,25
Lando Norris,4,+1.423,2,2,18
Oscar Piastri,81,+2.129,3,3,15
Charles Leclerc,16,+16.097,4,4,12
George Russell,63,+17.362,5,5,10
Kimi Antonelli,12,+18.671,6,6,8
Lewis Hamilton,44,+29.182,8,7,6
Isack Hadjar,6,+37.134,7,8,4
Alexander Albon,23,+40.367,9,9,2
Oliver Bearman,87,+54.529,10,10,1
Fernando Alonso,14,+57.333,12,11,0
Yuki Tsunoda,22,+58.401,14,12,0
Pierre Gasly,10,+1:02.122,11,13,0
Carlos Sainz,55,+1:14.129,15,14,0
Jack Doohan,7,+1:21.314,19,15,0
Nico Hulkenberg,27,+1:21.957,16,16,0
Liam Lawson,30,+1:22.734,13,17,0
Esteban Ocon,31,+1:23.438,18,18,0
Gabriel Bortoleto,5,+1:23.897,17,19,0
Lance Stroll,18,+1 Lap,20,20,0
