FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,33,1:23:54.543,1,1,26
Valtteri Bottas,77,+17.973,5,2,18
Lando Norris,4,+20.019,2,3,15
Lewis Hamilton,44,+46.452,4,4,12
Carlos Sainz,55,+57.144,10,5,10
Sergio Perez,11,+57.915,3,6,8
Daniel Ricciardo,3,+1:00.395,13,7,6
Charles Leclerc,16,+1:01.195,12,8,4
Pierre Gasly,10,+1:01.844,6,9,2
Fernando Alonso,14,+1 Lap,14,10,1
George Russell,63,+1 Lap,8,11,0
Yuki Tsunoda,22,+1 Lap,7,12,0
Lance Stroll,18,+1 Lap,9,13,0
Antonio Giovinazzi,99,+1 Lap,15,14,0
Kimi Räikkönen,7,+1 Lap,16,15,0
Nicholas Latifi,6,+1 Lap,18,16,0
Sebastian Vettel,5,+1 Lap,11,17,0
Mick Schumacher,47,+1 Lap,19,18,0
Nikita Mazepin,9,+1 Lap,20,19,0
Esteban Ocon,31,DNF,17,DNF,0
