FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lewis Hamilton,44,1:19:57.566,3,1,25
Oscar Piastri,81,+0.647,5,2,18
Charles Leclerc,16,+8.023,1,3,15
Max Verstappen,1,+8.700,11,4,12
Lando Norris,4,+9.324,4,5,10
Carlos Sainz,55,+19.269,7,6,8
Sergio Perez,11,+42.669,2,7,7
Fernando Alonso,14,+49.437,8,8,4
Esteban Ocon,31,+52.026,9,9,2
Daniel Ricciardo,3,+54.400,13,10,1
Lance Stroll,18,+1:02.485,15,11,0
Alexander Albon,23,+1:03.125,10,12,0
Pierre Gasly,10,+1:03.839,12,13,0
Kevin Magnussen,20,+1:06.105,17,14,0
Valtteri Bottas,77,+1:10.112,14,15,0
Yuki Tsunoda,22,+1:16.211,20,16,0
Logan Sargeant,2,+1:25.531,18,17,0
Nico Hulkenberg,27,+1:28.307,16,18,0
Guanyu Zhou,24,DNF,19,DNF,0
George Russell,63,DSQ,6,DSQ,0
