FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:21:08.429,2,1,25
George Russell,63,+23.546,4,2,18
Kimi Antonelli,12,+30.488,17,3,15
Charles Leclerc,16,+30.678,9,4,12
Carlos Sainz,55,+34.924,3,5,10
Isack Hadjar,6,+45.257,8,6,8
Nico Hulkenberg,27,+51.134,11,7,6
Lewis Hamilton,44,+59.369,19,8,4
Esteban Ocon,31,+1:00.635,13,9,2
Oliver Bearman,87,+1:10.549,14,10,1
Fernando Alonso,14,+1:25.308,7,11,0
Yuki Tsunoda,22,+1:26.974,20,12,0
Pierre Gasly,10,+1:31.702,10,13,0
Liam Lawson,30,+1 lap,6,14,0
Franco Colapinto,43,+1 lap,15,15,0
Alexander Albon,23,DNF,16,DNF,0
Gabriel Bortoleto,5,DNF,18,DNF,0
Lance Stroll,18,DNF,12,DNF,0
Lando Norris,4,DSQ,1,DSQ,0
Oscar Piastri,81,DSQ,5,DSQ,0
