FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Charles Leclerc,16,1:35:09.639,4,1,25
Carlos Sainz,55,+8.562,3,2,18
Max Verstappen,1,+19.412,2,3,15
Lando Norris,4,+20.354,1,4,12
Oscar Piastri,81,+21.921,5,5,10
George Russell,63,+56.295,20,6,8
Sergio Perez,11,+59.072,9,7,6
Nico Hulkenberg,27,+1:02.957,11,8,4
Liam Lawson,30,+1:10.563,19,9,2
Franco Colapinto,43,+1:11.979,15,10,1
Kevin Magnussen,20,+1:19.782,8,11,0
Pierre Gasly,10,+1:30.558,6,12,0
Fernando Alonso,14,+1 Lap,7,13,0
Yuki Tsunoda,22,+1 Lap,10,14,0
Lance Stroll,18,+1 Lap,13,15,0
Alexander Albon,23,+1 Lap,14,16,0
Valtteri Bottas,77,+1 Lap,16,17,0
Esteban Ocon,31,+1 Lap,12,18,0
Guanyu Zhou,24,+1 Lap,18,19,0
Lewis Hamilton,44,DNF,17,DNF,0
