FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:34:24.258,3,1,26
Charles Leclerc,16,+3.786,1,2,18
Carlos Sainz,55,+8.229,2,3,15
Sergio Perez,11,+10.638,4,4,12
George Russell,63,+18.582,12,5,10
Lewis Hamilton,44,+21.368,6,6,8
Valtteri Bottas,77,+25.073,5,7,6
Esteban Ocon,31,+28.386,20,8,4
Alexander Albon,23,+32.365,18,9,2
Lance Stroll,18,+37.026,PLS,10,1
Fernando Alonso,14,+37.128,11,11,0
Yuki Tsunoda,22,+40.146,9,12,0
Daniel Ricciardo,3,+40.902,14,13,0
Nicholas Latifi,6,+49.936,19,14,0
Mick Schumacher,47,+1:13.305,15,15,0
Kevin Magnussen,20,+1 Lap,16,16,0
Sebastian Vettel,5,+1 Lap,PLS,17,0
Pierre Gasly,10,DNF,7,DNF,0
Lando Norris,4,DNF,8,DNF,0
Guanyu Zhou,24,DNF,17,DNF,0
